0x8000000L,mov     eax, [esp+mode]
0x80000cbL,push    0               ; status
0x80000cdL,call    error
0x80000d2L,add     esp, 20h
0x80000d5L,mov     eax, ebx
0x80000d7L,pop     edx
0x80000d8L,pop     ebx
0x80000d9L,pop     esi
0x80000daL,retn
0x8000000L,push    esi
0x8000001L,push    ebx
0x8000002L,push    ecx
0x8000003L,mov     eax, [esp+0Ch+arg_0]
0x8000007L,lea     edx, [eax+8]
0x800000aL,cmp     eax, edx
0x800000cL,ja      short loc_8000050
0x800000eL,sub     esp, 0Ch
0x8000011L,push    edx             ; size
0x8000012L,call    malloc
0x8000017L,add     esp, 10h
0x800001aL,mov     ebx, eax
0x800001cL,test    eax, eax
0x800001eL,jz      short loc_8000050
0x8000020L,lea     ecx, [eax+8]
0x8000023L,mov     dword ptr [eax+4], 1415FB4Ah
0x800002aL,mov     esi, 101h
0x800002fL,mov     eax, ecx
0x8000031L,xor     edx, edx
0x8000033L,div     esi
0x8000035L,mov     eax, ds:mallocsa_results[edx*4]
0x800003cL,mov     ds:mallocsa_results[edx*4], ecx
0x8000043L,mov     [ebx], eax
0x8000045L,pop     edx
0x8000046L,mov     eax, ecx
0x8000048L,pop     ebx
0x8000049L,pop     esi
0x800004aL,retn
0x8000050L,pop     edx
0x8000051L,xor     eax, eax
0x8000053L,pop     ebx
0x8000054L,pop     esi
0x8000055L,retn
0x8000060L,push    ebx
0x8000061L,mov     ebx, [esp+4+ptr]
0x8000065L,test    ebx, ebx
0x8000067L,jz      short loc_8000072
0x8000069L,cmp     dword ptr [ebx-4], 1415FB4Ah
0x8000070L,jz      short loc_8000078
0x8000072L,pop     ebx
0x8000073L,retn
0x8000078L,mov     ecx, 101h
0x800007dL,xor     edx, edx
0x800007fL,mov     eax, ebx
0x8000081L,div     ecx
0x8000083L,mov     ecx, ds:mallocsa_results[edx*4]
0x800008aL,test    ecx, ecx
0x800008cL,jz      short loc_8000072
0x800008eL,cmp     ebx, ecx
0x8000090L,jnz     short loc_800009E
0x8000092L,jmp     short loc_80000BD
0x8000098L,cmp     ebx, eax
0x800009aL,jz      short loc_80000A8
0x800009cL,mov     ecx, eax
0x800009eL,mov     eax, [ecx-8]
0x80000a1L,test    eax, eax
0x80000a3L,jnz     short loc_8000098
0x80000a5L,jmp     short loc_8000072
0x80000a8L,sub     ecx, 8
0x80000abL,mov     eax, [ebx-8]
0x80000aeL,sub     ebx, 8
0x80000b1L,mov     [ecx], eax
0x80000b3L,mov     [esp+4+ptr], ebx; ptr
0x80000b7L,pop     ebx
0x80000b8L,jmp     free
0x80000bdL,lea     ecx, mallocsa_results[edx*4]
0x80000c4L,jmp     short loc_80000AB
0x8000000L,sub     esp, 18h
0x8000003L,push    1
0x8000005L,call    usage
0x800000aL,add     esp, 1Ch
0x800000dL,retn
0x8000010L,push    ebp
0x8000011L,push    edi
0x8000012L,push    esi
0x8000013L,push    ebx
0x8000014L,sub     esp, 28h
0x8000017L,mov     eax, [esp+38h+s]
0x800001bL,push    eax             ; s
0x800001cL,call    strlen
0x8000021L,add     esp, 10h
0x8000024L,mov     edi, eax
0x8000026L,mov     eax, [esp+2Ch+arg_4]
0x800002aL,mov     ebp, [eax]
0x800002cL,test    ebp, ebp
0x800002eL,jz      loc_80000EA
0x8000034L,mov     esi, [esp+2Ch+s2]
0x8000038L,mov     [esp+2Ch+var_1D], 0
0x800003dL,mov     [esp+2Ch+var_24], 0FFFFFFFFh
0x8000045L,xor     ebx, ebx
0x8000047L,jmp     short loc_8000094
0x8000050L,mov     ecx, [esp+2Ch+s2]
0x8000054L,test    ecx, ecx
0x8000056L,jz      short loc_800007D
0x8000058L,push    edx
0x8000059L,mov     ecx, [esp+30h+n]
0x800005dL,push    ecx             ; n
0x800005eL,push    esi             ; s2
0x800005fL,mov     eax, [esp+38h+var_24]
0x8000063L,mov     ebp, [esp+38h+n]
0x8000067L,imul    eax, ebp
0x800006aL,mov     edx, [esp+38h+s2]
0x800006eL,add     eax, edx
0x8000070L,push    eax             ; s1
0x8000071L,call    memcmp
0x8000076L,add     esp, 10h
0x8000079L,test    eax, eax
0x800007bL,jz      short loc_8000082
0x800007dL,mov     [esp+2Ch+var_1D], 1
0x8000082L,inc     ebx
0x8000083L,mov     eax, [esp+2Ch+arg_4]
0x8000087L,mov     ebp, [eax+ebx*4]
0x800008aL,mov     eax, [esp+2Ch+n]
0x800008eL,add     esi, eax
0x8000090L,test    ebp, ebp
0x8000092L,jz      short loc_80000C8
0x8000094L,push    eax
0x8000095L,push    edi             ; n
0x8000096L,mov     eax, [esp+34h+s]
0x800009aL,push    eax             ; s2
0x800009bL,push    ebp             ; s1
0x800009cL,call    strncmp
0x80000a1L,add     esp, 10h
0x80000a4L,test    eax, eax
0x80000a6L,jnz     short loc_8000082
0x80000a8L,sub     esp, 0Ch
0x80000abL,push    ebp             ; s
0x80000acL,call    strlen
0x80000b1L,add     esp, 10h
0x80000b4L,cmp     edi, eax
0x80000b6L,jz      short loc_80000E0
0x80000b8L,cmp     [esp+2Ch+var_24], 0FFFFFFFFh
0x80000bdL,jnz     short loc_8000050
0x80000bfL,mov     [esp+2Ch+var_24], ebx
0x80000c3L,jmp     short loc_8000082
0x80000c8L,cmp     [esp+2Ch+var_1D], 0
0x80000cdL,jnz     short loc_80000EF
0x80000cfL,mov     eax, [esp+2Ch+var_24]
0x80000d3L,add     esp, 1Ch
0x80000d6L,pop     ebx
0x80000d7L,pop     esi
0x80000d8L,pop     edi
0x80000d9L,pop     ebp
0x80000daL,retn
0x80000e0L,add     esp, 1Ch
0x80000e3L,mov     eax, ebx
0x80000e5L,pop     ebx
0x80000e6L,pop     esi
0x80000e7L,pop     edi
0x80000e8L,pop     ebp
0x80000e9L,retn
0x80000eaL,or      eax, 0FFFFFFFFh
0x80000edL,jmp     short loc_80000D3
0x80000efL,mov     eax, 0FFFFFFFEh
0x80000f4L,jmp     short loc_80000D3
0x8000100L,push    esi
0x8000101L,push    ebx
0x8000102L,push    ebx
0x8000103L,cmp     [esp+0Ch+arg_8], 0FFFFFFFFh
0x8000108L,jz      short loc_8000148
0x800010aL,mov     esi, offset format; "ambiguous argument %s for %s"
0x800010fL,push    eax
0x8000110L,push    eax
0x8000111L,mov     edx, [esp+14h+arg_0]
0x8000115L,push    edx
0x8000116L,push    1
0x8000118L,call    quote_n
0x800011dL,add     esp, 0Ch
0x8000120L,mov     ecx, [esp+10h+arg_4]
0x8000124L,mov     ebx, eax
0x8000126L,push    ecx
0x8000127L,push    5
0x8000129L,push    0
0x800012bL,call    quotearg_n_style
0x8000130L,mov     [esp+1Ch+var_1C], ebx
0x8000133L,push    eax
0x8000134L,push    esi             ; format
0x8000135L,push    0               ; errnum
0x8000137L,push    0               ; status
0x8000139L,call    error
0x800013eL,add     esp, 24h
0x8000141L,pop     ebx
0x8000142L,pop     esi
0x8000143L,retn
0x8000148L,mov     esi, offset aInvalidArgumen; "invalid argument %s for %s"
0x800014dL,jmp     short loc_800010F
0x8000150L,push    ebp
0x8000151L,push    edi
0x8000152L,push    esi
0x8000153L,push    ebx
0x8000154L,sub     esp, 1Ch
0x8000157L,xor     ebp, ebp
0x8000159L,mov     eax, [esp+2Ch+arg_0]
0x800015dL,mov     esi, [esp+2Ch+s2]
0x8000161L,mov     [esp+2Ch+var_20], eax
0x8000165L,mov     ebx, eax
0x8000167L,mov     eax, [esp+2Ch+arg_8]
0x800016bL,mov     [esp+2Ch+n], eax
0x800016fL,mov     eax, ds:stderr
0x8000174L,push    eax             ; s
0x8000175L,push    14h             ; n
0x8000177L,push    1               ; size
0x8000179L,push    offset aValidArguments; "Valid arguments are:"
0x800017eL,call    fwrite
0x8000183L,mov     edi, [ebx]
0x8000185L,add     esp, 10h
0x8000188L,xor     ebx, ebx
0x800018aL,test    edi, edi
0x800018cL,jnz     short loc_80001B9
0x800018eL,jmp     short loc_80001F0
0x8000190L,push    eax
0x8000191L,mov     eax, ds:stderr
0x8000196L,push    edi
0x8000197L,push    offset aS       ; "\n  - `%s'"
0x800019cL,push    eax             ; stream
0x800019dL,mov     ebp, esi
0x800019fL,call    fprintf
0x80001a4L,add     esp, 10h
0x80001a7L,inc     ebx
0x80001a8L,mov     eax, [esp+2Ch+var_20]
0x80001acL,mov     edi, [eax+ebx*4]
0x80001afL,mov     eax, [esp+2Ch+n]
0x80001b3L,add     esi, eax
0x80001b5L,test    edi, edi
0x80001b7L,jz      short loc_80001F0
0x80001b9L,test    ebx, ebx
0x80001bbL,jz      short loc_8000190
0x80001bdL,push    eax
0x80001beL,mov     eax, [esp+30h+n]
0x80001c2L,push    eax             ; n
0x80001c3L,push    esi             ; s2
0x80001c4L,push    ebp             ; s1
0x80001c5L,call    memcmp
0x80001caL,add     esp, 10h
0x80001cdL,test    eax, eax
0x80001cfL,jnz     short loc_8000190
0x80001d1L,mov     ecx, ds:stderr
0x80001d7L,push    edx
0x80001d8L,push    edi
0x80001d9L,push    offset aS_0     ; ", `%s'"
0x80001deL,push    ecx             ; stream
0x80001dfL,call    fprintf
0x80001e4L,add     esp, 10h
0x80001e7L,jmp     short loc_80001A7
0x80001f0L,mov     eax, ds:stderr
0x80001f5L,mov     edx, [eax+14h]
0x80001f8L,cmp     edx, [eax+18h]
0x80001fbL,jnb     short loc_800020E
0x80001fdL,lea     ecx, [edx+1]
0x8000200L,mov     [eax+14h], ecx
0x8000203L,mov     byte ptr [edx], 0Ah
0x8000206L,add     esp, 1Ch
0x8000209L,pop     ebx
0x800020aL,pop     esi
0x800020bL,pop     edi
0x800020cL,pop     ebp
0x800020dL,retn
0x800020eL,mov     [esp+2Ch+s2], 0Ah; int
0x8000216L,mov     [esp+2Ch+arg_0], eax; _IO_FILE *
0x800021aL,add     esp, 1Ch
0x800021dL,pop     ebx
0x800021eL,pop     esi
0x800021fL,pop     edi
0x8000220L,pop     ebp
0x8000221L,jmp     __overflow
0x8000230L,push    ebp
0x8000231L,push    edi
0x8000232L,push    esi
0x8000233L,push    ebx
0x8000234L,sub     esp, 0Ch
0x8000237L,mov     ebp, [esp+1Ch+s]
0x800023bL,mov     ebx, [esp+1Ch+arg_8]
0x800023fL,mov     esi, [esp+1Ch+s2]
0x8000243L,mov     edi, [esp+1Ch+n]
0x8000247L,push    edi             ; n
0x8000248L,push    esi             ; s2
0x8000249L,push    ebx             ; int
0x800024aL,push    ebp             ; s
0x800024bL,call    argmatch
0x8000250L,add     esp, 10h
0x8000253L,test    eax, eax
0x8000255L,js      short loc_800025F
0x8000257L,add     esp, 0Ch
0x800025aL,pop     ebx
0x800025bL,pop     esi
0x800025cL,pop     edi
0x800025dL,pop     ebp
0x800025eL,retn
0x800025fL,push    edx
0x8000260L,push    eax
0x8000261L,push    ebp
0x8000262L,mov     ecx, [esp+28h+arg_0]
0x8000266L,push    ecx
0x8000267L,call    argmatch_invalid
0x800026cL,add     esp, 0Ch
0x800026fL,push    edi             ; int
0x8000270L,push    esi             ; s2
0x8000271L,push    ebx             ; _IO_FILE *
0x8000272L,call    argmatch_valid
0x8000277L,call    [esp+2Ch+arg_14]
0x800027bL,add     esp, 10h
0x800027eL,or      eax, 0FFFFFFFFh
0x8000281L,jmp     short loc_8000257
0x8000290L,push    ebp
0x8000291L,push    edi
0x8000292L,push    esi
0x8000293L,push    ebx
0x8000294L,sub     esp, 0Ch
0x8000297L,mov     ebx, [esp+1Ch+arg_4]
0x800029bL,mov     edi, [esp+1Ch+n]
0x800029fL,mov     ebp, [ebx]
0x80002a1L,test    ebp, ebp
0x80002a3L,jz      short loc_80002CF
0x80002a5L,mov     esi, [esp+1Ch+s2]
0x80002a9L,add     ebx, 4
0x80002acL,jmp     short loc_80002BB
0x80002b0L,mov     ebp, [ebx]
0x80002b2L,add     esi, edi
0x80002b4L,add     ebx, 4
0x80002b7L,test    ebp, ebp
0x80002b9L,jz      short loc_80002CF
0x80002bbL,push    eax
0x80002bcL,push    edi             ; n
0x80002bdL,push    esi             ; s2
0x80002beL,mov     edx, [esp+28h+s1]
0x80002c2L,push    edx             ; s1
0x80002c3L,call    memcmp
0x80002c8L,add     esp, 10h
0x80002cbL,test    eax, eax
0x80002cdL,jnz     short loc_80002B0
0x80002cfL,add     esp, 0Ch
0x80002d2L,mov     eax, ebp
0x80002d4L,pop     ebx
0x80002d5L,pop     esi
0x80002d6L,pop     edi
0x80002d7L,pop     ebp
0x80002d8L,retn
0x8000000L,sub     esp, 0Ch
0x8000003L,lea     eax, [esp+0Ch+arg_C]
0x8000007L,push    eax
0x8000008L,mov     eax, [esp+10h+arg_8]
0x800000cL,push    eax
0x800000dL,mov     edx, [esp+14h+arg_4]
0x8000011L,push    edx
0x8000012L,mov     ecx, [esp+18h+arg_0]
0x8000016L,push    ecx
0x8000017L,call    vasnprintf
0x800001cL,add     esp, 1Ch
0x800001fL,retn
0x8000000L,sub     esp, 14h
0x8000003L,mov     ecx, ds:argmatch_die
0x8000009L,push    ecx
0x800000aL,push    4
0x800000cL,push    offset backup_types
0x8000011L,push    offset backup_args
0x8000016L,push    edx
0x8000017L,push    eax
0x8000018L,call    __xargmatch_internal
0x800001dL,mov     eax, ds:backup_types[eax*4]
0x8000024L,add     esp, 2Ch
0x8000027L,retn
0x8000030L,push    ebp
0x8000031L,push    edi
0x8000032L,push    esi
0x8000033L,push    ebx
0x8000034L,sub     esp, 48h
0x8000037L,mov     ebx, [esp+58h+s]
0x800003bL,push    ebx             ; s
0x800003cL,call    strlen
0x8000041L,pop     ecx
0x8000042L,mov     esi, simple_backup_suffix
0x8000048L,mov     [esp+58h+var_3C], eax
0x800004cL,push    esi             ; s
0x800004dL,call    strlen
0x8000052L,add     esp, 10h
0x8000055L,inc     eax
0x8000056L,mov     [esp+4Ch+var_30], eax
0x800005aL,cmp     eax, 8
0x800005dL,ja      short loc_8000064
0x800005fL,mov     eax, 9
0x8000064L,mov     edi, [esp+4Ch+var_3C]
0x8000068L,sub     esp, 0Ch
0x800006bL,lea     esi, [edi+1]
0x800006eL,add     eax, esi
0x8000070L,mov     [esp+58h+var_2C], eax
0x8000074L,push    eax             ; size_t
0x8000075L,call    xmalloc
0x800007aL,add     esp, 0Ch
0x800007dL,push    esi             ; n
0x800007eL,push    ebx             ; src
0x800007fL,push    eax             ; dest
0x8000080L,mov     edi, eax
0x8000082L,call    memcpy
0x8000087L,add     esp, 10h
0x800008aL,cmp     [esp+4Ch+arg_4], 1
0x800008fL,jz      loc_80002A8
0x8000095L,sub     esp, 0Ch
0x8000098L,push    edi
0x8000099L,call    last_component
0x800009eL,mov     esi, eax
0x80000a0L,mov     [esp+5Ch+name], eax
0x80000a3L,call    base_len
0x80000a8L,mov     ebx, eax
0x80000aaL,mov     eax, esi
0x80000acL,mov     si, [esi]
0x80000afL,mov     [esp+5Ch+var_40], eax
0x80000b3L,mov     word ptr [eax], 2Eh
0x80000b8L,mov     [esp+5Ch+name], edi; name
0x80000bbL,call    opendir
0x80000c0L,mov     ebp, eax
0x80000c2L,mov     eax, [esp+5Ch+var_40]
0x80000c6L,add     esp, 10h
0x80000c9L,mov     [eax], si
0x80000ccL,add     eax, ebx
0x80000ceL,test    ebp, ebp
0x80000d0L,mov     dword ptr [eax], 7E317E2Eh
0x80000d6L,mov     byte ptr [eax+4], 0
0x80000daL,jz      loc_80002A0
0x80000e0L,lea     eax, [ebx+4]
0x80000e3L,mov     [esp+4Ch+path], edi
0x80000e7L,mov     [esp+4Ch+var_44], eax
0x80000ebL,lea     eax, [ebx+2]
0x80000eeL,mov     [esp+4Ch+var_24], 1
0x80000f6L,mov     [esp+4Ch+var_28], 2
0x80000feL,mov     [esp+4Ch+n], eax
0x8000102L,lea     esi, [esi+0]
0x8000108L,sub     esp, 0Ch
0x800010bL,push    ebp
0x800010cL,call    readdir64
0x8000111L,add     esp, 10h
0x8000114L,test    eax, eax
0x8000116L,jz      loc_8000258
0x800011cL,mov     edx, [eax+4]
0x800011fL,or      edx, [eax]
0x8000121L,jz      short loc_8000108
0x8000123L,sub     esp, 0Ch
0x8000126L,lea     ebx, [eax+13h]
0x8000129L,push    ebx             ; s
0x800012aL,call    strlen
0x800012fL,add     esp, 10h
0x8000132L,cmp     eax, [esp+4Ch+var_44]
0x8000136L,jb      short loc_8000108
0x8000138L,push    eax
0x8000139L,mov     esi, [esp+50h+n]
0x800013dL,push    esi             ; n
0x800013eL,push    ebx             ; s2
0x800013fL,mov     eax, [esp+58h+var_40]
0x8000143L,mov     edx, [esp+58h+path]
0x8000147L,sub     eax, edi
0x8000149L,add     eax, edx
0x800014bL,push    eax             ; s1
0x800014cL,call    memcmp
0x8000151L,add     esp, 10h
0x8000154L,test    eax, eax
0x8000156L,jnz     short loc_8000108
0x8000158L,add     ebx, esi
0x800015aL,mov     al, [ebx]
0x800015cL,lea     edx, [eax-31h]
0x800015fL,cmp     dl, 8
0x8000162L,ja      short loc_8000108
0x8000164L,movsx   edx, byte ptr [ebx+1]
0x8000168L,cmp     al, 39h
0x800016aL,mov     eax, edx
0x800016cL,setz    cl
0x800016fL,sub     edx, 30h
0x8000172L,mov     esi, 1
0x8000177L,cmp     edx, 9
0x800017aL,ja      short loc_8000196
0x800017cL,lea     esi, [esi+0]
0x8000180L,cmp     al, 39h
0x8000182L,setz    al
0x8000185L,inc     esi
0x8000186L,and     ecx, eax
0x8000188L,movsx   edx, byte ptr [ebx+esi]
0x800018cL,mov     eax, edx
0x800018eL,sub     edx, 30h
0x8000191L,cmp     edx, 9
0x8000194L,jbe     short loc_8000180
0x8000196L,cmp     al, 7Eh
0x8000198L,jnz     loc_8000108
0x800019eL,cmp     byte ptr [ebx+esi+1], 0
0x80001a3L,jnz     loc_8000108
0x80001a9L,cmp     [esp+4Ch+var_24], esi
0x80001adL,jnb     loc_800032C
0x80001b3L,mov     al, cl
0x80001b5L,mov     ecx, [esp+4Ch+var_3C]
0x80001b9L,and     eax, 0FFh
0x80001beL,mov     [esp+4Ch+var_28], eax
0x80001c2L,add     eax, esi
0x80001c4L,mov     [esp+4Ch+var_24], eax
0x80001c8L,lea     ecx, [eax+ecx+3]
0x80001ccL,cmp     ecx, [esp+4Ch+var_2C]
0x80001d0L,jb      short loc_80001FD
0x80001d2L,or      eax, 0FFFFFFFFh
0x80001d5L,xor     edx, edx
0x80001d7L,div     ecx
0x80001d9L,cmp     eax, 1
0x80001dcL,jbe     loc_8000363
0x80001e2L,lea     eax, [ecx+ecx]
0x80001e5L,mov     [esp+4Ch+var_2C], eax
0x80001e9L,push    edx
0x80001eaL,push    edx
0x80001ebL,push    eax             ; size_t
0x80001ecL,mov     ecx, [esp+58h+path]
0x80001f0L,push    ecx             ; void *
0x80001f1L,call    xrealloc
0x80001f6L,mov     [esp+5Ch+path], eax
0x80001faL,add     esp, 10h
0x80001fdL,mov     edx, [esp+4Ch+var_3C]
0x8000201L,mov     eax, [esp+4Ch+path]
0x8000205L,mov     ecx, [esp+4Ch+var_28]
0x8000209L,add     eax, edx
0x800020bL,mov     byte ptr [eax], 2Eh
0x800020eL,mov     byte ptr [eax+1], 7Eh
0x8000212L,mov     byte ptr [eax+2], 30h
0x8000216L,lea     edx, [eax+ecx+2]
0x800021aL,lea     eax, [esi+2]
0x800021dL,push    ecx
0x800021eL,push    eax             ; n
0x800021fL,push    ebx             ; src
0x8000220L,push    edx             ; dest
0x8000221L,mov     [esp+5Ch+var_20], edx
0x8000225L,call    memcpy
0x800022aL,mov     edx, [esp+5Ch+var_20]
0x800022eL,add     esp, 10h
0x8000231L,add     esi, edx
0x8000233L,mov     dl, [esi-1]
0x8000236L,lea     eax, [esi-1]
0x8000239L,cmp     dl, 39h
0x800023cL,jnz     short loc_800024B
0x800023eL,xchg    ax, ax
0x8000240L,mov     byte ptr [eax], 30h
0x8000243L,dec     eax
0x8000244L,mov     dl, [eax]
0x8000246L,cmp     dl, 39h
0x8000249L,jz      short loc_8000240
0x800024bL,inc     edx
0x800024cL,mov     [eax], dl
0x800024eL,jmp     loc_8000108
0x8000258L,sub     esp, 0Ch
0x800025bL,push    ebp             ; dirp
0x800025cL,call    closedir
0x8000261L,add     esp, 10h
0x8000264L,mov     edi, [esp+4Ch+path]
0x8000268L,cmp     [esp+4Ch+var_28], 1
0x800026dL,jnz     short loc_8000296
0x800026fL,sub     esp, 0Ch
0x8000272L,push    edi
0x8000273L,call    last_component
0x8000278L,mov     [esp+5Ch+name], eax
0x800027bL,mov     ebx, eax
0x800027dL,call    base_len
0x8000282L,add     esp, 10h
0x8000285L,mov     esi, eax
0x8000287L,cmp     eax, 0Eh
0x800028aL,ja      short loc_80002C8
0x800028cL,add     esp, 3Ch
0x800028fL,mov     eax, edi
0x8000291L,pop     ebx
0x8000292L,pop     esi
0x8000293L,pop     edi
0x8000294L,pop     ebp
0x8000295L,retn
0x8000296L,cmp     [esp+4Ch+var_28], 2
0x800029bL,jnz     short loc_800028C
0x800029dL,lea     esi, [esi+0]
0x80002a0L,cmp     [esp+4Ch+arg_4], 2
0x80002a5L,jnz     short loc_800026F
0x80002a7L,nop
0x80002a8L,mov     eax, [esp+4Ch+var_3C]
0x80002acL,push    edx
0x80002adL,mov     ecx, [esp+50h+var_30]
0x80002b1L,add     eax, edi
0x80002b3L,mov     ebx, simple_backup_suffix
0x80002b9L,push    ecx             ; n
0x80002baL,push    ebx             ; src
0x80002bbL,push    eax             ; dest
0x80002bcL,call    memcpy
0x80002c1L,add     esp, 10h
0x80002c4L,jmp     short loc_800026F
0x80002c8L,mov     bp, [ebx]
0x80002cbL,mov     word ptr [ebx], 2Eh
0x80002d0L,call    __errno_location
0x80002d5L,mov     [esp+4Ch+var_44], eax
0x80002d9L,mov     dword ptr [eax], 0
0x80002dfL,push    eax
0x80002e0L,push    eax
0x80002e1L,push    3               ; name
0x80002e3L,push    edi             ; path
0x80002e4L,call    pathconf
0x80002e9L,add     esp, 10h
0x80002ecL,test    eax, eax
0x80002eeL,mov     ecx, [esp+4Ch+var_44]
0x80002f2L,js      short loc_800031F
0x80002f4L,mov     edx, eax
0x80002f6L,mov     [ebx], bp
0x80002f9L,cmp     esi, edx
0x80002fbL,jbe     short loc_800028C
0x80002fdL,mov     eax, [esp+4Ch+var_3C]
0x8000301L,add     eax, edi
0x8000303L,sub     eax, ebx
0x8000305L,cmp     eax, edx
0x8000307L,jb      short loc_800030C
0x8000309L,lea     eax, [edx-1]
0x800030cL,mov     byte ptr [ebx+eax], 7Eh
0x8000310L,mov     byte ptr [ebx+eax+1], 0
0x8000315L,add     esp, 3Ch
0x8000318L,mov     eax, edi
0x800031aL,pop     ebx
0x800031bL,pop     esi
0x800031cL,pop     edi
0x800031dL,pop     ebp
0x800031eL,retn
0x800031fL,mov     ecx, [ecx]
0x8000321L,mov     edx, 0FFh
0x8000326L,test    ecx, ecx
0x8000328L,jnz     short loc_80002F6
0x800032aL,jmp     short loc_80002F4
0x800032cL,jnz     loc_8000108
0x8000332L,mov     byte ptr [esp+4Ch+var_20], cl
0x8000336L,push    eax
0x8000337L,mov     eax, [esp+50h+var_24]
0x800033bL,push    eax             ; n
0x800033cL,push    ebx             ; s2
0x800033dL,mov     ecx, [esp+58h+var_3C]
0x8000341L,mov     eax, [esp+58h+path]
0x8000345L,lea     eax, [eax+ecx+2]
0x8000349L,push    eax             ; s1
0x800034aL,call    memcmp
0x800034fL,add     esp, 10h
0x8000352L,test    eax, eax
0x8000354L,mov     cl, byte ptr [esp+4Ch+var_20]
0x8000358L,jg      loc_8000108
0x800035eL,jmp     loc_80001B3
0x8000363L,call    xalloc_die
0x8000368L,nop
0x8000369L,lea     esi, [esi+0]
0x8000370L,mov     edx, [esp+arg_4]
0x8000374L,mov     eax, [esp+arg_0]
0x8000378L,test    edx, edx
0x800037aL,jz      short loc_8000381
0x800037cL,cmp     byte ptr [edx], 0
0x800037fL,jnz     short loc_8000388
0x8000381L,mov     eax, 2
0x8000386L,retn
0x8000388L,jmp     get_version_part_0
0x8000390L,sub     esp, 0Ch
0x8000393L,mov     edx, [esp+0Ch+arg_4]
0x8000397L,mov     eax, [esp+0Ch+arg_0]
0x800039bL,test    edx, edx
0x800039dL,jz      short loc_80003B0
0x800039fL,cmp     byte ptr [edx], 0
0x80003a2L,jz      short loc_80003B0
0x80003a4L,add     esp, 0Ch
0x80003a7L,jmp     get_version_part_0
0x80003b0L,sub     esp, 0Ch
0x80003b3L,push    offset name     ; "VERSION_CONTROL"
0x80003b8L,call    getenv
0x80003bdL,add     esp, 10h
0x80003c0L,test    eax, eax
0x80003c2L,jz      short loc_80003C9
0x80003c4L,cmp     byte ptr [eax], 0
0x80003c7L,jnz     short loc_80003D8
0x80003c9L,mov     eax, 2
0x80003ceL,add     esp, 0Ch
0x80003d1L,retn
0x80003d8L,mov     edx, eax
0x80003daL,add     esp, 0Ch
0x80003ddL,mov     eax, offset aVersion_cont_0; "$VERSION_CONTROL"
0x80003e2L,jmp     get_version_part_0
0x8000000L,push    ebp
0x8000001L,push    edi
0x8000002L,push    esi
0x8000003L,push    ebx
0x8000004L,sub     esp, 10h
0x8000007L,mov     ecx, [esp+20h+arg_C]
0x800000bL,mov     eax, [esp+20h+arg_8]
0x800000fL,mov     edi, [esp+20h+arg_0]
0x8000013L,mov     ebx, [esp+20h+arg_4]
0x8000017L,lea     ebp, [ecx-4]
0x800001aL,lea     edx, [eax+4]
0x800001dL,jmp     short loc_800009E
0x8000020L,mov     al, [edi+1]
