0x0L,CMN             W1, #1  ; Alternative name is '$x'
0x4L,B.EQ            loc_14
0x2d0L,LDR             X27, [SP,#arg_50]
0x2d4L,LDP             X29, X30, [SP+arg_0],#0x60
0x2d8L,RET
0x2dcL,LDP             X19, X20, [SP,#arg_10]
0x2e0L,LDP             X21, X22, [SP,#arg_20]
0x2e4L,LDP             X23, X24, [SP,#arg_30]
0x2e8L,LDP             X25, X26, [SP,#arg_40]
0x2ecL,LDR             X27, [SP,#arg_50]
0x2f0L,MOV             W1, #0xA
0x2f4L,LDP             X29, X30, [SP+arg_0],#0x60
0x2f8L,B               loc_2F8
0x2fcL,STP             X29, X30, [SP,#-0x10+var_70]!
0x300L,MOV             X29, SP
0x304L,STP             D8, D9, [SP,#0x70+var_10]
0x308L,FMOV            D8, X0
0x30cL,FMOV            D9, X5
0x310L,MOV             X0, X1
0x314L,STP             X25, X26, [SP,#0x70+var_30]
0x318L,MOV             X26, X2
0x31cL,MOV             X25, X1
0x320L,STP             X19, X20, [SP,#0x70+var_60]
0x324L,STP             X21, X22, [SP,#0x70+var_50]
0x328L,STP             X23, X24, [SP,#0x70+var_40]
0x32cL,STP             X27, X28, [SP,#0x70+var_20]
0x330L,MOV             X22, X4
0x334L,MOV             X28, X3
0x338L,BL              sub_338
0x33cL,LDR             X19, [X26]
0x340L,MOV             X23, X0
0x344L,CBZ             X19, loc_470
0x348L,CBZ             X28, loc_41C
0x34cL,MOV             X21, X28
0x350L,MOV             W27, #0
0x354L,MOV             X24, #0xFFFFFFFFFFFFFFFF
0x358L,MOV             X20, #0
0x35cL,B               loc_37C
0x41cL,MOV             W27, W28
0x420L,MOV             X24, #0xFFFFFFFFFFFFFFFF
0x424L,MOV             X20, X28
0x428L,B               loc_43C
0x43cL,MOV             X0, X19
0x440L,MOV             X1, X25
0x444L,MOV             X2, X23
0x470L,ADRP            X19, #__argmatch_die@PAGE
0x474L,ADD             X19, X19, #__argmatch_die@PAGEOFF
0x478L,MOV             X2, X25
0x47cL,MOV             W1, #5
0x480L,MOV             W0, #0
0x360L,BL              sub_360
0x364L,CMP             W0, WZR
0x368L,CSINC           W27, W27, WZR, EQ
0x36cL,ADD             X20, X20, #1
0x370L,ADD             X21, X21, X22
0x374L,LDR             X19, [X26,X20,LSL#3]
0x378L,CBZ             X19, loc_3C8
0x37cL,MOV             X1, X25
0x380L,MOV             X2, X23
0x384L,MOV             X0, X19
0x388L,BL              sub_388
0x38cL,CBNZ            W0, loc_36C
0x390L,MOV             X0, X19
0x394L,BL              sub_394
0x398L,CMP             X23, X0
0x39cL,MOV             X1, X21
0x3a0L,MOV             X2, X22
0x3a4L,MADD            X0, X24, X22, X28
0x3a8L,B.EQ            loc_3F8
0x3acL,CMN             X24, #1
0x3b0L,B.NE            sub_360
0x3b4L,MOV             X24, X20
0x3b8L,ADD             X20, X20, #1
0x3bcL,ADD             X21, X21, X22
0x3c0L,LDR             X19, [X26,X20,LSL#3]
0x3c4L,CBNZ            X19, loc_37C
0x3c8L,CBNZ            W27, loc_4D0
0x3ccL,CMN             X24, #1
0x3d0L,MOV             X0, X24
0x3d4L,B.EQ            loc_470
0x3d8L,LDP             X19, X20, [SP,#arg_10]
0x3dcL,LDP             D8, D9, [SP,#arg_60]
0x3e0L,LDP             X21, X22, [SP,#arg_20]
0x3e4L,LDP             X23, X24, [SP,#arg_30]
0x3e8L,LDP             X25, X26, [SP,#arg_40]
0x3ecL,LDP             X27, X28, [SP,#arg_50]
0x3f0L,LDP             X29, X30, [SP+arg_0],#0x80
0x3f4L,RET
0x3f8L,MOV             X0, X20
0x3fcL,LDP             D8, D9, [SP,#arg_60]
0x400L,LDP             X19, X20, [SP,#arg_10]
0x404L,LDP             X21, X22, [SP,#arg_20]
0x408L,LDP             X23, X24, [SP,#arg_30]
0x40cL,LDP             X25, X26, [SP,#arg_40]
0x410L,LDP             X27, X28, [SP,#arg_50]
0x414L,LDP             X29, X30, [SP+arg_0],#0x80
0x418L,RET
0x4d0L,ADRP            X19, #__argmatch_die@PAGE
0x4d4L,ADD             X19, X19, #__argmatch_die@PAGEOFF
0x4d8L,B               loc_478
0x448L,BL              sub_448
0x44cL,CBNZ            W0, loc_430
0x450L,MOV             X0, X19
0x430L,ADD             X20, X20, #1
0x434L,LDR             X19, [X26,X20,LSL#3]
0x438L,CBZ             X19, loc_3C8
0x454L,BL              sub_454
0x458L,CMP             X23, X0
0x45cL,B.EQ            loc_3F8
0x460L,CMN             X24, #1
0x464L,B.NE            loc_42C
0x468L,MOV             X24, X20
0x46cL,B               loc_430
0x42cL,MOV             W27, #1
0x484L,BL              sub_484
0x488L,STR             X0, [X29,#0x78]
0x48cL,FMOV            X1, D8
0x490L,MOV             W0, #1
0x494L,BL              sub_494
0x498L,MOV             X4, X0
0x49cL,LDR             X3, [X29,#0x78]
0x4a0L,MOV             W0, #0
0x4a4L,MOV             W1, W0
0x4a8L,MOV             X2, X19
0x4acL,BL              sub_4AC
0x4b0L,MOV             X0, X26
0x4b4L,MOV             X1, X28
0x4b8L,MOV             X2, X22
0x4bcL,BL              sub_4BC
0x4c0L,FMOV            X0, D9
0x4c4L,BLR             X0
0x4c8L,MOV             X0, #0xFFFFFFFFFFFFFFFF
0x4ccL,B               loc_3D8
0x4dcL,STP             X29, X30, [SP,#-0x10+var_30]!
0x4e0L,MOV             X29, SP
0x4e4L,STP             X21, X22, [SP,#0x30+var_10]
0x4e8L,LDR             X22, [X1]
0x4ecL,STP             X19, X20, [SP,#0x30+var_20]
0x4f0L,STR             X23, [SP,#0x30+var_s0]
0x4f4L,CBZ             X22, loc_52C
0x4f8L,MOV             X21, X3
0x4fcL,MOV             X19, X2
0x500L,MOV             X23, X0
0x504L,ADD             X20, X1, #8
0x508L,B               loc_514
0x50cL,LDR             X22, [X20],#8
0x510L,CBZ             X22, loc_52C
0x514L,MOV             X1, X19
0x518L,MOV             X0, X23
0x51cL,MOV             X2, X21
0x520L,ADD             X19, X19, X21
0x524L,BL              sub_524
0x528L,CBNZ            W0, loc_50C
0x52cL,MOV             X0, X22
0x530L,LDR             X23, [SP,#arg_30]
0x534L,LDP             X19, X20, [SP,#arg_10]
0x538L,LDP             X21, X22, [SP,#arg_20]
0x53cL,LDP             X29, X30, [SP+arg_0],#0x40
0x540L,RET
0x0L,STP             X29, X30, [SP,#-0x10+var_F0]!; Alternative name is '$x'
0x4L,MOV             X29, SP
0x8L,ADD             X8, X29, #0x100
0xcL,STR             Q0, [X29,#0xF0+var_A0]
0x10L,STR             X8, [X29,#0xF0+var_C0]
0x14L,STR             X8, [X29,#0xF0+var_B8]
0x18L,ADD             X8, X29, #0xD0
0x1cL,STR             X8, [X29,#0xF0+var_B0]
0x20L,MOV             W8, #0xFFFFFFD8
0x24L,STR             W8, [X29,#0xF0+var_A8]
0x28L,MOV             W8, #0xFFFFFF80
0x2cL,STR             W8, [X29,#0xF0+var_A4]
0x30L,STR             X4, [X29,#0xF0+var_10]
0x34L,STR             X5, [X29,#0xF0+var_8]
0x38L,LDP             X4, X5, [X29,#0xF0+var_C0]
0x3cL,STP             X4, X5, [X29,#0xF0+var_E0]
0x40L,LDP             X4, X5, [X29,#0xF0+var_B0]
0x44L,STR             X3, [X29,#0xF0+var_18]
0x48L,ADD             X3, X29, #0x10
0x4cL,STR             X6, [X29,#0xF0+var_s0]
0x50L,STR             X7, [X29,#0xF0+var_s8]
0x54L,STR             Q1, [X29,#0xF0+var_90]
0x58L,STR             Q2, [X29,#0xF0+var_80]
0x5cL,STR             Q3, [X29,#0xF0+var_70]
0x60L,STR             Q4, [X29,#0xF0+var_60]
0x64L,STR             Q5, [X29,#0xF0+var_50]
0x68L,STR             Q6, [X29,#0xF0+var_40]
0x6cL,STR             Q7, [X29,#0xF0+var_30]
0x70L,STP             X4, X5, [X29,#0xF0+var_D0]
0x74L,BL              sub_74
0x78L,LDP             X29, X30, [SP+arg_0],#0x100
0x7cL,RET
0x0L,STP             X29, X30, [SP,#-0x10+var_90]!; Alternative name is '$x'
0x4L,MOV             X29, SP
0x8L,STP             D8, D9, [SP,#0x90+var_30]
0xcL,FMOV            S9, W1
0x10L,STP             X27, X28, [SP,#0x90+var_40]
0x14L,STP             D10, D11, [SP,#0x90+var_20]
0x18L,ADRP            X28, #find_backup_file_name@PAGE
0x1cL,STP             D12, D13, [SP,#0x90+var_10]
0x20L,STP             X19, X20, [SP,#0x90+var_80]
0x24L,STP             X21, X22, [SP,#0x90+var_70]
0x28L,STP             X23, X24, [SP,#0x90+var_60]
0x2cL,STP             X25, X26, [SP,#0x90+var_50]
0x30L,MOV             W23, W1
0x34L,STR             X0, [X29,#0x90+var_s8]
0x38L,BL              sub_38
0x3cL,MOV             X21, X0
0x40L,LDR             X0, [X28,#find_backup_file_name@PAGEOFF]
0x44L,MOV             X22, #9
0x48L,ADD             X19, X21, #1
0x4cL,BL              sub_4C
0x50L,ADD             X26, X0, #1
0x54L,CMP             X26, #8
0x58L,CSEL            X22, X26, X22, HI
0x5cL,ADD             X22, X22, X19
0x60L,MOV             X0, X22
0x64L,BL              sub_64
0x68L,MOV             X20, X0
0x6cL,LDR             X1, [X29,#0x98]
0x70L,MOV             X2, X19
0x74L,BL              sub_74
0x78L,CMP             W23, #1
0x7cL,B.EQ            loc_304
0x80L,MOV             X0, X20
0x304L,LDR             X1, [X28,#find_backup_file_name@PAGEOFF]
0x308L,MOV             X2, X26
0x30cL,ADD             X0, X20, X21
0x84L,BL              sub_84
0x88L,MOV             X24, X0
0x8cL,BL              sub_8C
0x90L,MOV             X25, X0
0x94L,ADRP            X1, #find_backup_file_name@PAGE
0x98L,MOV             X0, X20
0x9cL,ADD             X1, X1, #find_backup_file_name@PAGEOFF
0xa0L,LDRH            W19, [X24]
0xa4L,LDRH            W1, [X1]
0xa8L,STRH            W1, [X24]
0xacL,BL              sub_AC
0xb0L,MOV             X23, X0
0xb4L,ADRP            X0, #find_backup_file_name@PAGE
0xb8L,ADD             X1, X24, X25
0xbcL,ADD             X0, X0, #find_backup_file_name@PAGEOFF
0xc0L,STRH            W19, [X24]
0xc4L,LDR             W2, [X0]
0xc8L,STR             W2, [X24,X25]
0xccL,LDRB            W0, [X0,#4]
0xd0L,STRB            W0, [X1,#4]
0xd4L,CBZ             X23, loc_2F8
0xd8L,MOV             X0, #1
0xdcL,ADD             X27, X25, #4
0xe0L,SUB             X24, X24, X20
0xe4L,FMOV            D12, X0
0xe8L,MOV             W0, #2
0xecL,FMOV            S10, W0
0xf0L,ADD             X0, X25, #2
0xf4L,FMOV            D8, X0
0xf8L,ADD             X0, X25, #0x12
0xfcL,FMOV            D11, X0
0x100L,ADD             X0, X21, #3
0x104L,FMOV            D13, X0
0x108L,MOV             X0, X23
0x2f8L,FMOV            W0, S9
0x2fcL,CMP             W0, #2
0x300L,B.NE            loc_2A8
0x10cL,BL              sub_10C
0x110L,MOV             X19, X0
0x114L,CBZ             X0, loc_294
0x118L,LDR             X0, [X19]
0x11cL,CBZ             X0, loc_108
0x120L,ADD             X25, X19, #0x13
0x124L,MOV             X0, X25
0x294L,MOV             X0, X23
0x128L,BL              sub_128
0x12cL,CMP             X0, X27
0x130L,B.CC            loc_108
0x134L,FMOV            X2, D8
0x138L,ADD             X0, X20, X24
0x13cL,MOV             X1, X25
0x140L,BL              sub_140
0x144L,CBNZ            W0, loc_108
0x148L,FMOV            X0, D8
0x14cL,ADD             X0, X19, X0
0x150L,LDRB            W1, [X0,#0x13]
0x154L,SUB             W0, W1, #0x31
0x158L,UBFM            W0, W0, #0, #7
0x15cL,CMP             W0, #8
0x160L,B.HI            loc_108
0x164L,FMOV            X0, D11
0x168L,CMP             W1, #0x39
0x16cL,CSET            W4, EQ
0x170L,MOV             X3, #1
0x174L,ADD             X19, X19, X0
0x178L,ADD             X19, X19, #3
0x17cL,LDRB            W0, [X19,#1]
0x180L,SUB             W1, W0, #0x30
0x184L,CMP             W1, #9
0x188L,B.HI            loc_1AC
0x18cL,ADD             X3, X3, #1
0x190L,CMP             W0, #0x39
0x194L,CSET            W0, EQ
0x198L,AND             W4, W4, W0
0x19cL,LDRB            W0, [X19,X3]
0x1a0L,SUB             W1, W0, #0x30
0x1a4L,CMP             W1, #9
0x1a8L,B.LS            loc_18C
0x1acL,CMP             W0, #0x7E
0x1b0L,B.NE            loc_108
0x1b4L,ADD             X0, X19, X3
0x1b8L,LDRB            W0, [X0,#1]
0x1bcL,CBNZ            W0, loc_108
0x1c0L,FMOV            X0, D12
0x1c4L,CMP             X3, X0
0x1c8L,B.HI            loc_1FC
0x1ccL,B.NE            loc_108
0x1d0L,ADD             X0, X21, #2
0x1d4L,MOV             X2, X3
0x1d8L,MOV             X1, X19
0x1dcL,ADD             X0, X20, X0
0x1e0L,STR             X4, [X29,#0x90]
0x1e4L,STR             X3, [X29,#0x98]
0x1e8L,BL              sub_1E8
0x1ecL,CMP             W0, WZR
0x1f0L,LDR             X3, [X29,#0x98]
0x1f4L,LDR             X4, [X29,#0x90]
0x1f8L,B.GT            loc_108
0x1fcL,FMOV            X1, D13
0x200L,UBFM            W2, W4, #0, #7
0x204L,ADD             X0, X2, X3
0x208L,FMOV            S10, W4
0x20cL,FMOV            D12, X0
0x210L,ADD             X0, X1, X0
0x214L,CMP             X0, X22
0x218L,B.CS            loc_3A8
0x21cL,ADD             X1, X20, X21
0x220L,MOV             W0, #0x2E
0x224L,ADD             X5, X1, #2
0x228L,STRB            W0, [X20,X21]
0x22cL,ADD             X5, X5, X2
0x230L,MOV             W0, #0x7E
0x234L,MOV             W4, #0x30
0x238L,STRB            W0, [X1,#1]
0x23cL,STRB            W4, [X1,#2]
0x240L,ADD             X2, X3, #2
0x244L,MOV             X1, X19
0x248L,MOV             X0, X5
0x24cL,STR             X3, [X29,#0x98]
0x250L,STR             X4, [X29,#0x90]
0x3a8L,MOV             X1, #0xFFFFFFFFFFFFFFFF
0x3acL,UDIV            X1, X1, X0
0x3b0L,CMP             X1, #1
0x3b4L,B.LS            sub_3E0
0x3b8L,UBFM            X22, X0, #0x3F, #0x3E
0x3bcL,MOV             X0, X20
0x3c0L,MOV             X1, X22
0x3c4L,STR             X2, [X29,#0x90]
0x3c8L,STR             X3, [X29,#0x98]
0x254L,BL              sub_254
0x258L,LDR             X3, [X29,#0x98]
0x25cL,ADD             X3, X0, X3
0x260L,SUB             X0, X3, #1
0x264L,LDURB           W1, [X3,#-1]
0x268L,CMP             W1, #0x39
0x26cL,B.NE            loc_288
0x270L,LDR             X4, [X29,#0x90]
0x274L,MOV             W2, W4
0x278L,STRB            W2, [X0]
0x27cL,LDRB            W1, [X0,#-1]!
0x280L,CMP             W1, #0x39
0x284L,B.EQ            loc_278
0x288L,ADD             W1, W1, #1
0x28cL,STRB            W1, [X0]
0x290L,B               loc_108
0x298L,BL              sub_298
0x29cL,FMOV            W0, S10
0x2a0L,CMP             W0, #1
0x2a4L,B.NE            loc_2F0
0x2a8L,MOV             X0, X20
0x2f0L,CMP             W0, #2
0x2f4L,B.NE            loc_2C4
0x2acL,BL              sub_2AC
0x2b0L,MOV             X19, X0
0x2b4L,BL              sub_2B4
0x2b8L,CMP             X0, #0xE
0x2bcL,MOV             X22, X0
0x2c0L,B.HI            loc_330
0x2c4L,MOV             X0, X20
0x2c8L,LDP             D8, D9, [SP,#arg_60]
0x2ccL,LDP             X19, X20, [SP,#arg_10]
0x2d0L,LDP             D10, D11, [SP,#arg_70]
0x2d4L,LDP             X21, X22, [SP,#arg_20]
0x2d8L,LDP             D12, D13, [SP,#arg_80]
