0x0L,push    rbp
0x122L,shl     rax, 3
0x126L,add     rax, offset mallocsa_results
0x12cL,mov     [rbp+var_8], rax
0x130L,jmp     short loc_176
0x132L,mov     rax, [rbp+var_8]
0x136L,mov     rax, [rax]
0x139L,cmp     rax, [rbp+var_28]
0x13dL,jnz     short loc_167
0x13fL,mov     rax, [rbp+var_28]
0x143L,sub     rax, 10h
0x147L,mov     [rbp+ptr], rax
0x14bL,mov     rax, [rbp+ptr]
0x14fL,mov     rdx, [rax]
0x152L,mov     rax, [rbp+var_8]
0x156L,mov     [rax], rdx
0x159L,mov     rax, [rbp+ptr]
0x15dL,mov     rdi, rax        ; ptr
0x160L,call    free
0x165L,jmp     short locret_182
0x167L,mov     rax, [rbp+var_8]
0x16bL,mov     rax, [rax]
0x16eL,sub     rax, 10h
0x172L,mov     [rbp+var_8], rax
0x176L,mov     rax, [rbp+var_8]
0x17aL,mov     rax, [rax]
0x17dL,test    rax, rax
0x180L,jnz     short loc_132
0x182L,leave
0x183L,retn
0x0L,push    rbp
0x1L,mov     rbp, rsp
0x4L,mov     edi, 1
0x9L,mov     eax, 0
0xeL,call    usage
0x13L,nop
0x14L,pop     rbp
0x15L,retn
0x16L,push    rbp
0x17L,mov     rbp, rsp
0x1aL,sub     rsp, 40h
0x1eL,mov     [rbp+s], rdi
0x22L,mov     [rbp+var_30], rsi
0x26L,mov     [rbp+var_38], rdx
0x2aL,mov     [rbp+var_40], rcx
0x2eL,mov     [rbp+var_10], 0FFFFFFFFFFFFFFFFh
0x36L,mov     [rbp+var_11], 0
0x3aL,mov     rax, [rbp+s]
0x3eL,mov     rdi, rax        ; s
0x41L,call    strlen
0x46L,mov     [rbp+n], rax
0x4aL,mov     [rbp+var_8], 0
0x52L,jmp     loc_111
0x57L,mov     rax, [rbp+var_8]
0x5bL,lea     rdx, ds:0[rax*8]
0x63L,mov     rax, [rbp+var_30]
0x67L,add     rax, rdx
0x6aL,mov     rax, [rax]
0x6dL,mov     rdx, [rbp+n]    ; n
0x71L,mov     rcx, [rbp+s]
0x75L,mov     rsi, rcx        ; s2
0x78L,mov     rdi, rax        ; s1
0x7bL,call    strncmp
0x80L,test    eax, eax
0x82L,jnz     loc_10C
0x88L,mov     rax, [rbp+var_8]
0x8cL,lea     rdx, ds:0[rax*8]
0x94L,mov     rax, [rbp+var_30]
0x98L,add     rax, rdx
0x9bL,mov     rax, [rax]
0x9eL,mov     rdi, rax        ; s
0xa1L,call    strlen
0xa6L,cmp     rax, [rbp+n]
0xaaL,jnz     short loc_B5
0xacL,mov     rax, [rbp+var_8]
0xb0L,jmp     locret_143
0xb5L,cmp     [rbp+var_10], 0FFFFFFFFFFFFFFFFh
0xbaL,jnz     short loc_C6
0xbcL,mov     rax, [rbp+var_8]
0xc0L,mov     [rbp+var_10], rax
0xc4L,jmp     short loc_10C
0xc6L,cmp     [rbp+var_38], 0
0xcbL,jz      short loc_108
0xcdL,mov     rax, [rbp+var_40]
0xd1L,imul    rax, [rbp+var_8]
0xd6L,mov     rdx, rax
0xd9L,mov     rax, [rbp+var_38]
0xddL,lea     rsi, [rdx+rax]  ; s2
0xe1L,mov     rax, [rbp+var_10]
0xe5L,imul    rax, [rbp+var_40]
0xeaL,mov     rdx, rax
0xedL,mov     rax, [rbp+var_38]
0xf1L,lea     rcx, [rdx+rax]
0xf5L,mov     rax, [rbp+var_40]
0xf9L,mov     rdx, rax        ; n
0xfcL,mov     rdi, rcx        ; s1
0xffL,call    memcmp
0x104L,test    eax, eax
0x106L,jz      short loc_10C
0x108L,mov     [rbp+var_11], 1
0x10cL,add     [rbp+var_8], 1
0x111L,mov     rax, [rbp+var_8]
0x115L,lea     rdx, ds:0[rax*8]
0x11dL,mov     rax, [rbp+var_30]
0x121L,add     rax, rdx
0x124L,mov     rax, [rax]
0x127L,test    rax, rax
0x12aL,jnz     loc_57
0x130L,cmp     [rbp+var_11], 0
0x134L,jz      short loc_13F
0x136L,mov     rax, 0FFFFFFFFFFFFFFFEh
0x13dL,jmp     short locret_143
0x13fL,mov     rax, [rbp+var_10]
0x143L,leave
0x144L,retn
0x145L,push    rbp
0x146L,mov     rbp, rsp
0x149L,push    rbx
0x14aL,sub     rsp, 38h
0x14eL,mov     [rbp+var_28], rdi
0x152L,mov     [rbp+var_30], rsi
0x156L,mov     [rbp+var_38], rdx
0x15aL,cmp     [rbp+var_38], 0FFFFFFFFFFFFFFFFh
0x15fL,jnz     short loc_168
0x161L,mov     eax, offset aInvalidArgumen; "invalid argument %s for %s"
0x166L,jmp     short loc_16D
0x168L,mov     eax, offset aAmbiguousArgum; "ambiguous argument %s for %s"
0x16dL,mov     [rbp+format], rax
0x171L,mov     rax, [rbp+var_28]
0x175L,mov     rsi, rax
0x178L,mov     edi, 1
0x17dL,call    quote_n
0x182L,mov     rbx, rax
0x185L,mov     rax, [rbp+var_30]
0x189L,mov     rdx, rax
0x18cL,mov     esi, 5
0x191L,mov     edi, 0
0x196L,call    quotearg_n_style
0x19bL,mov     rdx, rax
0x19eL,mov     rax, [rbp+format]
0x1a2L,mov     r8, rbx
0x1a5L,mov     rcx, rdx
0x1a8L,mov     rdx, rax        ; format
0x1abL,mov     esi, 0          ; errnum
0x1b0L,mov     edi, 0          ; status
0x1b5L,mov     eax, 0
0x1baL,call    error
0x1bfL,nop
0x1c0L,add     rsp, 38h
0x1c4L,pop     rbx
0x1c5L,pop     rbp
0x1c6L,retn
0x1c7L,push    rbp
0x1c8L,mov     rbp, rsp
0x1cbL,sub     rsp, 30h
0x1cfL,mov     [rbp+var_18], rdi
0x1d3L,mov     [rbp+var_20], rsi
0x1d7L,mov     [rbp+n], rdx
0x1dbL,mov     [rbp+s1], 0
0x1e3L,mov     rax, qword ptr cs:stderr
0x1eaL,mov     rcx, rax        ; s
0x1edL,mov     edx, 14h        ; n
0x1f2L,mov     esi, 1          ; size
0x1f7L,mov     edi, offset aValidArguments; "Valid arguments are:"
0x1fcL,call    fwrite
0x201L,mov     [rbp+var_8], 0
0x209L,jmp     loc_2BC
0x20eL,cmp     [rbp+var_8], 0
0x213L,jz      short loc_240
0x215L,mov     rax, [rbp+n]
0x219L,imul    rax, [rbp+var_8]
0x21eL,mov     rdx, rax
0x221L,mov     rax, [rbp+var_20]
0x225L,lea     rcx, [rdx+rax]
0x229L,mov     rdx, [rbp+n]    ; n
0x22dL,mov     rax, [rbp+s1]
0x231L,mov     rsi, rcx        ; s2
0x234L,mov     rdi, rax        ; s1
0x237L,call    memcmp
0x23cL,test    eax, eax
0x23eL,jz      short loc_288
0x240L,mov     rax, [rbp+var_8]
0x244L,lea     rdx, ds:0[rax*8]
0x24cL,mov     rax, [rbp+var_18]
0x250L,add     rax, rdx
0x253L,mov     rdx, [rax]
0x256L,mov     rax, qword ptr cs:stderr
0x25dL,mov     esi, offset format; "\n  - `%s'"
0x262L,mov     rdi, rax        ; stream
0x265L,mov     eax, 0
0x26aL,call    fprintf
0x26fL,mov     rax, [rbp+n]
0x273L,imul    rax, [rbp+var_8]
0x278L,mov     rdx, rax
0x27bL,mov     rax, [rbp+var_20]
0x27fL,add     rax, rdx
0x282L,mov     [rbp+s1], rax
0x286L,jmp     short loc_2B7
0x288L,mov     rax, [rbp+var_8]
0x28cL,lea     rdx, ds:0[rax*8]
0x294L,mov     rax, [rbp+var_18]
0x298L,add     rax, rdx
0x29bL,mov     rdx, [rax]
0x29eL,mov     rax, qword ptr cs:stderr
0x2a5L,mov     esi, offset aS_0; ", `%s'"
0x2aaL,mov     rdi, rax        ; stream
0x2adL,mov     eax, 0
0x2b2L,call    fprintf
0x2b7L,add     [rbp+var_8], 1
0x2bcL,mov     rax, [rbp+var_8]
0x2c0L,lea     rdx, ds:0[rax*8]
0x2c8L,mov     rax, [rbp+var_18]
0x2ccL,add     rax, rdx
0x2cfL,mov     rax, [rax]
0x2d2L,test    rax, rax
0x2d5L,jnz     loc_20E
0x2dbL,mov     rax, qword ptr cs:stderr
0x2e2L,mov     rsi, rax        ; stream
0x2e5L,mov     edi, 0Ah        ; c
0x2eaL,call    putc_unlocked
0x2efL,nop
0x2f0L,leave
0x2f1L,retn
0x2f2L,push    rbp
0x2f3L,mov     rbp, rsp
0x2f6L,sub     rsp, 40h
0x2faL,mov     [rbp+var_18], rdi
0x2feL,mov     [rbp+var_20], rsi
0x302L,mov     [rbp+var_28], rdx
0x306L,mov     [rbp+var_30], rcx
0x30aL,mov     [rbp+var_38], r8
0x30eL,mov     [rbp+var_40], r9
0x312L,mov     rcx, [rbp+var_38]
0x316L,mov     rdx, [rbp+var_30]
0x31aL,mov     rsi, [rbp+var_28]
0x31eL,mov     rax, [rbp+var_20]
0x322L,mov     rdi, rax
0x325L,call    argmatch
0x32aL,mov     [rbp+var_8], rax
0x32eL,cmp     [rbp+var_8], 0
0x333L,js      short loc_33B
0x335L,mov     rax, [rbp+var_8]
0x339L,jmp     short locret_376
0x33bL,mov     rdx, [rbp+var_8]
0x33fL,mov     rcx, [rbp+var_20]
0x343L,mov     rax, [rbp+var_18]
0x347L,mov     rsi, rcx
0x34aL,mov     rdi, rax
0x34dL,call    argmatch_invalid
0x352L,mov     rdx, [rbp+var_38]
0x356L,mov     rcx, [rbp+var_30]
0x35aL,mov     rax, [rbp+var_28]
0x35eL,mov     rsi, rcx
0x361L,mov     rdi, rax
0x364L,call    argmatch_valid
0x369L,mov     rax, [rbp+var_40]
0x36dL,call    rax
0x36fL,mov     rax, 0FFFFFFFFFFFFFFFFh
0x376L,leave
0x377L,retn
0x378L,push    rbp
0x379L,mov     rbp, rsp
0x37cL,sub     rsp, 30h
0x380L,mov     [rbp+s1], rdi
0x384L,mov     [rbp+var_20], rsi
0x388L,mov     [rbp+var_28], rdx
0x38cL,mov     [rbp+n], rcx
0x390L,mov     [rbp+var_8], 0
0x398L,jmp     short loc_3E2
0x39aL,mov     rax, [rbp+n]
0x39eL,imul    rax, [rbp+var_8]
0x3a3L,mov     rdx, rax
0x3a6L,mov     rax, [rbp+var_28]
0x3aaL,lea     rcx, [rdx+rax]
0x3aeL,mov     rdx, [rbp+n]    ; n
0x3b2L,mov     rax, [rbp+s1]
0x3b6L,mov     rsi, rcx        ; s2
0x3b9L,mov     rdi, rax        ; s1
0x3bcL,call    memcmp
0x3c1L,test    eax, eax
0x3c3L,jnz     short loc_3DD
0x3c5L,mov     rax, [rbp+var_8]
0x3c9L,lea     rdx, ds:0[rax*8]
0x3d1L,mov     rax, [rbp+var_20]
0x3d5L,add     rax, rdx
0x3d8L,mov     rax, [rax]
0x3dbL,jmp     short locret_402
0x3ddL,add     [rbp+var_8], 1
0x3e2L,mov     rax, [rbp+var_8]
0x3e6L,lea     rdx, ds:0[rax*8]
0x3eeL,mov     rax, [rbp+var_20]
0x3f2L,add     rax, rdx
0x3f5L,mov     rax, [rax]
0x3f8L,test    rax, rax
0x3fbL,jnz     short loc_39A
0x3fdL,mov     eax, 0
0x402L,leave
0x403L,retn
0x0L,push    rbp
0x1L,mov     rbp, rsp
0x4L,sub     rsp, 0F0h
0xbL,mov     [rbp+var_D8], rdi
0x12L,mov     [rbp+var_E0], rsi
0x19L,mov     [rbp+var_E8], rdx
0x20L,mov     [rbp+var_98], rcx
0x27L,mov     [rbp+var_90], r8
0x2eL,mov     [rbp+var_88], r9
0x35L,test    al, al
0x37L,jz      short loc_59
0x39L,movaps  [rbp+var_80], xmm0
0x3dL,movaps  [rbp+var_70], xmm1
0x41L,movaps  [rbp+var_60], xmm2
0x45L,movaps  [rbp+var_50], xmm3
0x49L,movaps  [rbp+var_40], xmm4
0x4dL,movaps  [rbp+var_30], xmm5
0x51L,movaps  [rbp+var_20], xmm6
0x55L,movaps  [rbp+var_10], xmm7
0x59L,mov     [rbp+var_D0], 18h
0x63L,mov     [rbp+var_CC], 30h ; '0'
0x6dL,lea     rax, [rbp+arg_0]
0x71L,mov     [rbp+var_C8], rax
0x78L,lea     rax, [rbp+var_B0]
0x7fL,mov     [rbp+var_C0], rax
0x86L,lea     rcx, [rbp+var_D0]
0x8dL,mov     rdx, [rbp+var_E8]
0x94L,mov     rsi, [rbp+var_E0]
0x9bL,mov     rax, [rbp+var_D8]
0xa2L,mov     rdi, rax
0xa5L,call    vasnprintf
0xaaL,mov     [rbp+var_B8], rax
0xb1L,mov     rax, [rbp+var_B8]
0xb8L,leave
0xb9L,retn
0x0L,push    rbp
0x1L,mov     rbp, rsp
0x4L,sub     rsp, 50h
0x8L,mov     [rbp+path], rdi
0xcL,mov     [rbp+var_40], rsi
0x10L,mov     eax, edx
0x12L,mov     [rbp+var_44], al
0x15L,mov     rax, [rbp+path]
0x19L,mov     rdi, rax
0x1cL,call    last_component
0x21L,mov     [rbp+var_18], rax
0x25L,mov     rax, [rbp+var_18]
0x29L,mov     rdi, rax
0x2cL,call    base_len
0x31L,mov     [rbp+var_8], rax
0x35L,mov     [rbp+var_10], 0FFh
0x3dL,cmp     [rbp+var_8], 0Eh
0x42L,jbe     short loc_B7
0x44L,mov     rax, [rbp+var_18]
0x48L,movzx   eax, word ptr [rax]
0x4bL,mov     [rbp+var_2A], ax
0x4fL,mov     rax, [rbp+var_18]
0x53L,mov     word ptr [rax], 2Eh ; '.'
0x58L,call    __errno_location
0x5dL,mov     dword ptr [rax], 0
0x63L,mov     rax, [rbp+path]
0x67L,mov     esi, 3          ; name
0x6cL,mov     rdi, rax        ; path
0x6fL,call    pathconf
0x74L,mov     [rbp+var_20], rax
0x78L,cmp     [rbp+var_20], 0
0x7dL,jns     short loc_8A
0x7fL,call    __errno_location
0x84L,mov     eax, [rax]
0x86L,test    eax, eax
0x88L,jnz     short loc_AC
0x8aL,mov     rax, [rbp+var_20]
0x8eL,mov     [rbp+var_10], rax
0x92L,mov     rax, [rbp+var_10]
0x96L,mov     [rbp+var_28], rax
0x9aL,mov     rax, [rbp+var_20]
0x9eL,cmp     rax, [rbp+var_28]
0xa2L,jz      short loc_AC
0xa4L,mov     [rbp+var_10], 0FFFFFFFFFFFFFFFFh
0xacL,movzx   edx, [rbp+var_2A]
0xb0L,mov     rax, [rbp+var_18]
0xb4L,mov     [rax], dx
0xb7L,mov     rax, [rbp+var_10]
0xbbL,cmp     rax, [rbp+var_8]
0xbfL,jnb     short loc_116
0xc1L,mov     rdx, [rbp+path]
0xc5L,mov     rax, [rbp+var_40]
0xc9L,add     rax, rdx
0xccL,mov     rdx, rax
0xcfL,mov     rax, [rbp+var_18]
0xd3L,sub     rdx, rax
0xd6L,mov     rax, rdx
0xd9L,mov     [rbp+var_8], rax
0xddL,mov     rax, [rbp+var_10]
0xe1L,cmp     rax, [rbp+var_8]
0xe5L,ja      short loc_F3
0xe7L,mov     rax, [rbp+var_10]
0xebL,sub     rax, 1
0xefL,mov     [rbp+var_8], rax
0xf3L,mov     rdx, [rbp+var_18]
0xf7L,mov     rax, [rbp+var_8]
0xfbL,add     rdx, rax
0xfeL,movzx   eax, [rbp+var_44]
0x102L,mov     [rdx], al
0x104L,mov     rax, [rbp+var_8]
0x108L,lea     rdx, [rax+1]
0x10cL,mov     rax, [rbp+var_18]
0x110L,add     rax, rdx
0x113L,mov     byte ptr [rax], 0
0x116L,nop
0x117L,leave
0x118L,retn
0x119L,push    rbp
0x11aL,mov     rbp, rsp
0x11dL,sub     rsp, 90h
0x124L,mov     [rbp+var_78], rdi
0x128L,mov     [rbp+var_80], rsi
0x12cL,mov     [rbp+var_88], rdx
0x133L,mov     [rbp+var_4], 2
0x13aL,mov     rax, [rbp+var_78]
0x13eL,mov     rax, [rax]
0x141L,mov     [rbp+name], rax
0x145L,mov     [rbp+var_18], 1
0x14dL,mov     rax, [rbp+name]
0x151L,mov     rdi, rax
0x154L,call    last_component
0x159L,mov     [rbp+var_38], rax
0x15dL,mov     rdx, [rbp+var_38]
0x161L,mov     rax, [rbp+name]
0x165L,sub     rdx, rax
0x168L,mov     rax, rdx
0x16bL,mov     [rbp+var_40], rax
0x16fL,mov     rax, [rbp+var_38]
0x173L,mov     rdi, rax
0x176L,call    base_len
0x17bL,mov     [rbp+var_48], rax
0x17fL,mov     rax, [rbp+var_38]
0x183L,movzx   eax, word ptr [rax]
0x186L,mov     [rbp+var_6A], ax
0x18aL,mov     rax, [rbp+var_38]
0x18eL,mov     word ptr [rax], 2Eh ; '.'
0x193L,mov     rax, [rbp+name]
0x197L,mov     rdi, rax        ; name
0x19aL,call    opendir
0x19fL,mov     [rbp+dirp], rax
0x1a3L,movzx   edx, [rbp+var_6A]
0x1a7L,mov     rax, [rbp+var_38]
0x1abL,mov     [rax], dx
0x1aeL,mov     rdx, [rbp+var_38]
0x1b2L,mov     rax, [rbp+var_48]
0x1b6L,add     rax, rdx
0x1b9L,mov     dword ptr [rax], 7E317E2Eh
0x1bfL,mov     byte ptr [rax+4], 0
0x1c3L,cmp     [rbp+dirp], 0
0x1c8L,jnz     loc_429
0x1ceL,mov     eax, [rbp+var_4]
0x1d1L,jmp     locret_45E
0x1d6L,mov     rax, [rbp+var_58]
0x1daL,mov     rax, [rax]
0x1ddL,test    rax, rax
0x1e0L,jz      loc_429
0x1e6L,mov     rax, [rbp+var_58]
0x1eaL,add     rax, 13h
0x1eeL,mov     rdi, rax        ; s
0x1f1L,call    strlen
0x1f6L,mov     rdx, rax
0x1f9L,mov     rax, [rbp+var_48]
0x1fdL,add     rax, 4
0x201L,cmp     rdx, rax
0x204L,jnb     short loc_20B
0x206L,jmp     loc_429
0x20bL,mov     rax, [rbp+var_48]
0x20fL,lea     rdx, [rax+2]    ; n
0x213L,mov     rax, [rbp+var_58]
0x217L,lea     rcx, [rax+13h]
0x21bL,mov     rsi, [rbp+name]
0x21fL,mov     rax, [rbp+var_40]
0x223L,add     rax, rsi
0x226L,mov     rsi, rcx        ; s2
0x229L,mov     rdi, rax        ; s1
0x22cL,call    memcmp
0x231L,test    eax, eax
0x233L,jz      short loc_23A
0x235L,jmp     loc_429
0x23aL,mov     rax, [rbp+var_58]
0x23eL,lea     rdx, [rax+13h]
0x242L,mov     rax, [rbp+var_48]
0x246L,add     rax, 2
0x24aL,add     rax, rdx
0x24dL,mov     [rbp+s2], rax
0x251L,mov     rax, [rbp+s2]
0x255L,movzx   eax, byte ptr [rax]
0x258L,cmp     al, 30h ; '0'
0x25aL,jle     loc_429
0x260L,mov     rax, [rbp+s2]
0x264L,movzx   eax, byte ptr [rax]
0x267L,cmp     al, 39h ; '9'
0x269L,jle     short loc_270
0x26bL,jmp     loc_429
0x270L,mov     rax, [rbp+s2]
0x274L,movzx   eax, byte ptr [rax]
0x277L,cmp     al, 39h ; '9'
0x279L,setz    al
0x27cL,mov     [rbp+var_21], al
0x27fL,mov     [rbp+n], 1
0x287L,jmp     short loc_2B2
0x289L,movzx   edx, [rbp+var_21]
0x28dL,mov     rcx, [rbp+s2]
0x291L,mov     rax, [rbp+n]
0x295L,add     rax, rcx
0x298L,movzx   eax, byte ptr [rax]
0x29bL,cmp     al, 39h ; '9'
0x29dL,setz    al
0x2a0L,movzx   eax, al
0x2a3L,and     eax, edx
0x2a5L,test    eax, eax
0x2a7L,setnz   al
0x2aaL,mov     [rbp+var_21], al
0x2adL,add     [rbp+n], 1
0x2b2L,mov     rdx, [rbp+s2]
0x2b6L,mov     rax, [rbp+n]
0x2baL,add     rax, rdx
0x2bdL,movzx   eax, byte ptr [rax]
0x2c0L,movsx   eax, al
0x2c3L,sub     eax, 30h ; '0'
0x2c6L,cmp     eax, 9
0x2c9L,jbe     short loc_289
0x2cbL,mov     rdx, [rbp+s2]
0x2cfL,mov     rax, [rbp+n]
0x2d3L,add     rax, rdx
0x2d6L,movzx   eax, byte ptr [rax]
0x2d9L,cmp     al, 7Eh ; '~'
0x2dbL,jnz     loc_429
0x2e1L,mov     rax, [rbp+n]
0x2e5L,lea     rdx, [rax+1]
0x2e9L,mov     rax, [rbp+s2]
0x2edL,add     rax, rdx
0x2f0L,movzx   eax, byte ptr [rax]
0x2f3L,test    al, al
0x2f5L,jnz     loc_429
0x2fbL,mov     rax, [rbp+var_18]
0x2ffL,cmp     rax, [rbp+n]
0x303L,jb      short loc_342
0x305L,mov     rax, [rbp+var_18]
0x309L,cmp     rax, [rbp+n]
0x30dL,jnz     loc_429
0x313L,mov     rax, [rbp+var_88]
0x31aL,lea     rdx, [rax+2]
0x31eL,mov     rax, [rbp+name]
0x322L,lea     rcx, [rdx+rax]
0x326L,mov     rdx, [rbp+n]    ; n
0x32aL,mov     rax, [rbp+s2]
0x32eL,mov     rsi, rax        ; s2
0x331L,mov     rdi, rcx        ; s1
0x334L,call    memcmp
0x339L,test    eax, eax
0x33bL,jle     short loc_342
0x33dL,jmp     loc_429
0x342L,movzx   edx, [rbp+var_21]
0x346L,mov     rax, [rbp+n]
0x34aL,add     rax, rdx
0x34dL,mov     [rbp+var_18], rax
0x351L,movzx   eax, [rbp+var_21]
0x355L,mov     [rbp+var_4], eax
0x358L,mov     rdx, [rbp+var_88]
0x35fL,mov     rax, [rbp+var_18]
0x363L,add     rax, rdx
0x366L,add     rax, 3
0x36aL,mov     [rbp+var_68], rax
0x36eL,mov     rax, [rbp+var_80]
0x372L,cmp     rax, [rbp+var_68]
0x376L,ja      short loc_39C
0x378L,mov     rdx, [rbp+var_68]
0x37cL,mov     rax, [rbp+name]
0x380L,mov     esi, 2
0x385L,mov     rdi, rax
0x388L,call    xnrealloc
0x38dL,mov     [rbp+name], rax
0x391L,mov     rax, [rbp+var_68]
0x395L,add     rax, rax
0x398L,mov     [rbp+var_80], rax
0x39cL,mov     rdx, [rbp+name]
0x3a0L,mov     rax, [rbp+var_88]
0x3a7L,add     rax, rdx
0x3aaL,mov     [rbp+dest], rax
0x3aeL,mov     rax, [rbp+dest]
0x3b2L,lea     rdx, [rax+1]
0x3b6L,mov     [rbp+dest], rdx
