0x8000000L,mov     eax, [esp+mode]
0x80000c9L,add     esp, 10h
0x80000ccL,mov     ebx, eax
0x80000ceL,test    ebx, ebx
0x80000d0L,jz      short loc_80000F9
0x80000d2L,sub     esp, 0Ch
0x80000d5L,mov     ecx, [esp+18h+file]
0x80000d9L,push    ecx
0x80000daL,call    quote
0x80000dfL,mov     esi, eax
0x80000e1L,call    __errno_location
0x80000e6L,push    esi
0x80000e7L,push    offset aSettingPermiss; "setting permissions for %s"
0x80000ecL,mov     esi, [eax]
0x80000eeL,push    esi             ; errnum
0x80000efL,push    0               ; status
0x80000f1L,call    error
0x80000f6L,add     esp, 20h
0x80000f9L,mov     eax, ebx
0x80000fbL,pop     edx
0x80000fcL,pop     ebx
0x80000fdL,pop     esi
0x80000feL,retn
0x8000100L,push    eax
0x8000101L,push    eax
0x8000102L,mov     eax, [esp+14h+mode]
0x8000106L,push    eax             ; mode
0x8000107L,mov     eax, [esp+18h+file]
0x800010bL,push    eax             ; file
0x800010cL,call    chmod
0x8000111L,add     esp, 10h
0x8000114L,mov     ebx, eax
0x8000116L,jmp     short loc_80000CE
0x8000000L,push    esi
0x8000001L,push    ebx
0x8000002L,push    ecx
0x8000003L,mov     eax, [esp+0Ch+arg_0]
0x8000007L,lea     edx, [eax+8]
0x800000aL,cmp     eax, edx
0x800000cL,ja      short loc_8000050
0x800000eL,sub     esp, 0Ch
0x8000011L,push    edx             ; size
0x8000012L,call    malloc
0x8000017L,add     esp, 10h
0x800001aL,mov     ebx, eax
0x800001cL,test    eax, eax
0x800001eL,jz      short loc_8000050
0x8000020L,lea     ecx, [eax+8]
0x8000023L,mov     dword ptr [eax+4], 1415FB4Ah
0x800002aL,mov     esi, 101h
0x800002fL,mov     eax, ecx
0x8000031L,xor     edx, edx
0x8000033L,div     esi
0x8000035L,mov     eax, ds:mallocsa_results[edx*4]
0x800003cL,mov     ds:mallocsa_results[edx*4], ecx
0x8000043L,mov     [ebx], eax
0x8000045L,pop     edx
0x8000046L,mov     eax, ecx
0x8000048L,pop     ebx
0x8000049L,pop     esi
0x800004aL,retn
0x8000050L,pop     edx
0x8000051L,xor     eax, eax
0x8000053L,pop     ebx
0x8000054L,pop     esi
0x8000055L,retn
0x8000060L,push    ebx
0x8000061L,mov     ebx, [esp+4+ptr]
0x8000065L,test    ebx, ebx
0x8000067L,jz      short loc_8000072
0x8000069L,cmp     dword ptr [ebx-4], 1415FB4Ah
0x8000070L,jz      short loc_8000078
0x8000072L,pop     ebx
0x8000073L,retn
0x8000078L,mov     ecx, 101h
0x800007dL,xor     edx, edx
0x800007fL,mov     eax, ebx
0x8000081L,div     ecx
0x8000083L,mov     ecx, ds:mallocsa_results[edx*4]
0x800008aL,test    ecx, ecx
0x800008cL,jz      short loc_8000072
0x800008eL,cmp     ebx, ecx
0x8000090L,jnz     short loc_800009E
0x8000092L,jmp     short loc_80000BD
0x8000098L,cmp     ebx, edx
0x800009aL,jz      short loc_80000A8
0x800009cL,mov     ecx, edx
0x800009eL,mov     edx, [ecx-8]
0x80000a1L,test    edx, edx
0x80000a3L,jnz     short loc_8000098
0x80000a5L,jmp     short loc_8000072
0x80000a8L,sub     ecx, 8
0x80000abL,mov     eax, [ebx-8]
0x80000aeL,sub     ebx, 8
0x80000b1L,mov     [ecx], eax
0x80000b3L,mov     [esp+4+ptr], ebx; ptr
0x80000b7L,pop     ebx
0x80000b8L,jmp     free
0x80000bdL,lea     ecx, mallocsa_results[edx*4]
0x80000c4L,jmp     short loc_80000AB
0x8000000L,sub     esp, 18h
0x8000003L,push    1
0x8000005L,call    usage
0x800000aL,add     esp, 1Ch
0x800000dL,retn
0x8000010L,push    ebp
0x8000011L,push    edi
0x8000012L,push    esi
0x8000013L,push    ebx
0x8000014L,sub     esp, 28h
0x8000017L,mov     eax, [esp+38h+s]
0x800001bL,push    eax             ; s
0x800001cL,call    strlen
0x8000021L,add     esp, 10h
0x8000024L,mov     edi, eax
0x8000026L,mov     eax, [esp+2Ch+arg_4]
0x800002aL,mov     ebp, [eax]
0x800002cL,test    ebp, ebp
0x800002eL,jz      loc_8000146
0x8000034L,mov     eax, [esp+2Ch+s2]
0x8000038L,test    eax, eax
0x800003aL,jz      loc_80000F0
0x8000040L,mov     esi, [esp+2Ch+s2]
0x8000044L,mov     [esp+2Ch+var_1D], 0
0x8000049L,mov     [esp+2Ch+var_24], 0FFFFFFFFh
0x8000051L,xor     ebx, ebx
0x8000053L,jmp     short loc_8000092
0x8000058L,push    ecx
0x8000059L,mov     ebp, [esp+30h+n]
0x800005dL,push    ebp             ; n
0x800005eL,push    esi             ; s2
0x800005fL,mov     edx, [esp+38h+n]
0x8000063L,mov     ecx, [esp+38h+s2]
0x8000067L,imul    eax, edx
0x800006aL,add     eax, ecx
0x800006cL,push    eax             ; s1
0x800006dL,call    memcmp
0x8000072L,add     esp, 10h
0x8000075L,test    eax, eax
0x8000077L,jz      short loc_8000080
0x8000079L,mov     [esp+2Ch+var_1D], 1
0x800007eL,xchg    ax, ax
0x8000080L,inc     ebx
0x8000081L,mov     eax, [esp+2Ch+arg_4]
0x8000085L,mov     edx, [esp+2Ch+n]
0x8000089L,mov     ebp, [eax+ebx*4]
0x800008cL,add     esi, edx
0x800008eL,test    ebp, ebp
0x8000090L,jz      short loc_80000C8
0x8000092L,push    eax
0x8000093L,push    edi             ; n
0x8000094L,mov     eax, [esp+34h+s]
0x8000098L,push    eax             ; s2
0x8000099L,push    ebp             ; s1
0x800009aL,call    strncmp
0x800009fL,add     esp, 10h
0x80000a2L,test    eax, eax
0x80000a4L,jnz     short loc_8000080
0x80000a6L,sub     esp, 0Ch
0x80000a9L,push    ebp             ; s
0x80000aaL,call    strlen
0x80000afL,add     esp, 10h
0x80000b2L,cmp     eax, edi
0x80000b4L,jz      short loc_80000E0
0x80000b6L,mov     eax, [esp+2Ch+var_24]
0x80000baL,cmp     eax, 0FFFFFFFFh
0x80000bdL,jnz     short loc_8000058
0x80000bfL,mov     [esp+2Ch+var_24], ebx
0x80000c3L,jmp     short loc_8000080
0x80000c8L,cmp     [esp+2Ch+var_1D], 0
0x80000cdL,jnz     loc_8000153
0x80000d3L,mov     eax, [esp+2Ch+var_24]
0x80000d7L,add     esp, 1Ch
0x80000daL,pop     ebx
0x80000dbL,pop     esi
0x80000dcL,pop     edi
0x80000ddL,pop     ebp
0x80000deL,retn
0x80000e0L,add     esp, 1Ch
0x80000e3L,mov     eax, ebx
0x80000e5L,pop     ebx
0x80000e6L,pop     esi
0x80000e7L,pop     edi
0x80000e8L,pop     ebp
0x80000e9L,retn
0x80000f0L,mov     [esp+2Ch+var_1D], 0
0x80000f5L,mov     [esp+2Ch+var_24], 0FFFFFFFFh
0x80000fdL,xor     ebx, ebx
0x80000ffL,mov     esi, [esp+2Ch+s]
0x8000103L,jmp     short loc_8000119
0x8000108L,mov     [esp+2Ch+var_1D], 1
0x800010dL,inc     ebx
0x800010eL,mov     eax, [esp+2Ch+arg_4]
0x8000112L,mov     ebp, [eax+ebx*4]
0x8000115L,test    ebp, ebp
0x8000117L,jz      short loc_80000C8
0x8000119L,push    eax
0x800011aL,push    edi             ; n
0x800011bL,push    esi             ; s2
0x800011cL,push    ebp             ; s1
0x800011dL,call    strncmp
0x8000122L,add     esp, 10h
0x8000125L,test    eax, eax
0x8000127L,jnz     short loc_800010D
0x8000129L,sub     esp, 0Ch
0x800012cL,push    ebp             ; s
0x800012dL,call    strlen
0x8000132L,add     esp, 10h
0x8000135L,cmp     eax, edi
0x8000137L,jz      short loc_80000E0
0x8000139L,cmp     [esp+2Ch+var_24], 0FFFFFFFFh
0x800013eL,jnz     short loc_8000108
0x8000140L,mov     [esp+2Ch+var_24], ebx
0x8000144L,jmp     short loc_800010D
0x8000146L,mov     [esp+2Ch+var_24], 0FFFFFFFFh
0x800014eL,jmp     loc_80000D3
0x8000153L,mov     eax, 0FFFFFFFEh
0x8000158L,jmp     loc_80000D7
0x8000160L,push    esi
0x8000161L,push    ebx
0x8000162L,push    ebx
0x8000163L,cmp     [esp+0Ch+arg_8], 0FFFFFFFFh
0x8000168L,jz      short loc_80001A8
0x800016aL,mov     esi, offset format; "ambiguous argument %s for %s"
0x800016fL,push    eax
0x8000170L,push    eax
0x8000171L,mov     edx, [esp+14h+arg_0]
0x8000175L,push    edx
0x8000176L,push    1
0x8000178L,call    quote_n
0x800017dL,add     esp, 0Ch
0x8000180L,mov     ecx, [esp+10h+arg_4]
0x8000184L,mov     ebx, eax
0x8000186L,push    ecx
0x8000187L,push    5
0x8000189L,push    0
0x800018bL,call    quotearg_n_style
0x8000190L,mov     [esp+1Ch+var_1C], ebx
0x8000193L,push    eax
0x8000194L,push    esi             ; format
0x8000195L,push    0               ; errnum
0x8000197L,push    0               ; status
0x8000199L,call    error
0x800019eL,add     esp, 24h
0x80001a1L,pop     ebx
0x80001a2L,pop     esi
0x80001a3L,retn
0x80001a8L,mov     esi, offset aInvalidArgumen; "invalid argument %s for %s"
0x80001adL,jmp     short loc_800016F
0x80001b0L,push    ebp
0x80001b1L,push    edi
0x80001b2L,push    esi
0x80001b3L,push    ebx
0x80001b4L,sub     esp, 1Ch
0x80001b7L,xor     ebp, ebp
0x80001b9L,mov     eax, [esp+2Ch+arg_0]
0x80001bdL,mov     esi, [esp+2Ch+s2]
0x80001c1L,mov     [esp+2Ch+var_20], eax
0x80001c5L,mov     ebx, eax
0x80001c7L,mov     eax, [esp+2Ch+arg_8]
0x80001cbL,mov     [esp+2Ch+n], eax
0x80001cfL,mov     eax, ds:stderr
0x80001d4L,push    eax             ; s
0x80001d5L,push    14h             ; n
0x80001d7L,push    1               ; size
0x80001d9L,push    offset aValidArguments; "Valid arguments are:"
0x80001deL,call    fwrite
0x80001e3L,mov     edi, [ebx]
0x80001e5L,add     esp, 10h
0x80001e8L,xor     ebx, ebx
0x80001eaL,test    edi, edi
0x80001ecL,jnz     short loc_8000219
0x80001eeL,jmp     short loc_8000250
0x80001f0L,push    eax
0x80001f1L,mov     eax, ds:stderr
0x80001f6L,push    edi
0x80001f7L,push    offset aS       ; "\n  - `%s'"
0x80001fcL,push    eax             ; stream
0x80001fdL,mov     ebp, esi
0x80001ffL,call    fprintf
0x8000204L,add     esp, 10h
0x8000207L,inc     ebx
0x8000208L,mov     eax, [esp+2Ch+var_20]
0x800020cL,mov     edi, [eax+ebx*4]
0x800020fL,mov     eax, [esp+2Ch+n]
0x8000213L,add     esi, eax
0x8000215L,test    edi, edi
0x8000217L,jz      short loc_8000250
0x8000219L,test    ebx, ebx
0x800021bL,jz      short loc_80001F0
0x800021dL,push    eax
0x800021eL,mov     eax, [esp+30h+n]
0x8000222L,push    eax             ; n
0x8000223L,push    esi             ; s2
0x8000224L,push    ebp             ; s1
0x8000225L,call    memcmp
0x800022aL,add     esp, 10h
0x800022dL,test    eax, eax
0x800022fL,jnz     short loc_80001F0
0x8000231L,mov     ecx, ds:stderr
0x8000237L,push    edx
0x8000238L,push    edi
0x8000239L,push    offset aS_0     ; ", `%s'"
0x800023eL,push    ecx             ; stream
0x800023fL,call    fprintf
0x8000244L,add     esp, 10h
0x8000247L,jmp     short loc_8000207
0x8000250L,mov     eax, ds:stderr
0x8000255L,mov     edx, [eax+14h]
0x8000258L,cmp     edx, [eax+18h]
0x800025bL,jnb     short loc_800026E
0x800025dL,lea     ecx, [edx+1]
0x8000260L,mov     [eax+14h], ecx
0x8000263L,mov     byte ptr [edx], 0Ah
0x8000266L,add     esp, 1Ch
0x8000269L,pop     ebx
0x800026aL,pop     esi
0x800026bL,pop     edi
0x800026cL,pop     ebp
0x800026dL,retn
0x800026eL,mov     [esp+2Ch+s2], 0Ah; int
0x8000276L,mov     [esp+2Ch+arg_0], eax; _IO_FILE *
0x800027aL,add     esp, 1Ch
0x800027dL,pop     ebx
0x800027eL,pop     esi
0x800027fL,pop     edi
0x8000280L,pop     ebp
0x8000281L,jmp     __overflow
0x8000290L,push    ebp
0x8000291L,push    edi
0x8000292L,push    esi
0x8000293L,push    ebx
0x8000294L,sub     esp, 28h
0x8000297L,mov     eax, [esp+38h+s]
0x800029bL,push    eax             ; s
0x800029cL,call    strlen
0x80002a1L,add     esp, 10h
0x80002a4L,mov     edi, eax
0x80002a6L,mov     eax, [esp+2Ch+arg_8]
0x80002aaL,mov     ebp, [eax]
0x80002acL,test    ebp, ebp
0x80002aeL,jz      loc_80003CE
0x80002b4L,mov     eax, [esp+2Ch+s2]
0x80002b8L,test    eax, eax
0x80002baL,jz      loc_8000378
0x80002c0L,mov     esi, [esp+2Ch+s2]
0x80002c4L,mov     [esp+2Ch+var_1D], 0
0x80002c9L,mov     [esp+2Ch+var_24], 0FFFFFFFFh
0x80002d1L,xor     ebx, ebx
0x80002d3L,jmp     short loc_8000312
0x80002d8L,push    edx
0x80002d9L,mov     ecx, [esp+30h+n]
0x80002ddL,push    ecx             ; n
0x80002deL,push    esi             ; s2
0x80002dfL,mov     ebp, [esp+38h+n]
0x80002e3L,mov     edx, [esp+38h+s2]
0x80002e7L,imul    eax, ebp
0x80002eaL,add     eax, edx
0x80002ecL,push    eax             ; s1
0x80002edL,call    memcmp
0x80002f2L,add     esp, 10h
0x80002f5L,test    eax, eax
0x80002f7L,jz      short loc_8000300
0x80002f9L,mov     [esp+2Ch+var_1D], 1
0x80002feL,xchg    ax, ax
0x8000300L,inc     ebx
0x8000301L,mov     eax, [esp+2Ch+arg_8]
0x8000305L,mov     ebp, [eax+ebx*4]
0x8000308L,mov     eax, [esp+2Ch+n]
0x800030cL,add     esi, eax
0x800030eL,test    ebp, ebp
0x8000310L,jz      short loc_8000348
0x8000312L,push    ecx
0x8000313L,push    edi             ; n
0x8000314L,mov     eax, [esp+34h+s]
0x8000318L,push    eax             ; s2
0x8000319L,push    ebp             ; s1
0x800031aL,call    strncmp
0x800031fL,add     esp, 10h
0x8000322L,test    eax, eax
0x8000324L,jnz     short loc_8000300
0x8000326L,sub     esp, 0Ch
0x8000329L,push    ebp             ; s
0x800032aL,call    strlen
0x800032fL,add     esp, 10h
0x8000332L,cmp     edi, eax
0x8000334L,jz      short loc_8000368
0x8000336L,mov     eax, [esp+2Ch+var_24]
0x800033aL,cmp     eax, 0FFFFFFFFh
0x800033dL,jnz     short loc_80002D8
0x800033fL,mov     [esp+2Ch+var_24], ebx
0x8000343L,jmp     short loc_8000300
0x8000348L,cmp     [esp+2Ch+var_1D], 0
0x800034dL,jnz     loc_8000428
0x8000353L,cmp     [esp+2Ch+var_24], 0FFFFFFFFh
0x8000358L,jz      short loc_80003CE
0x800035aL,mov     eax, [esp+2Ch+var_24]
0x800035eL,add     esp, 1Ch
0x8000361L,pop     ebx
0x8000362L,pop     esi
0x8000363L,pop     edi
0x8000364L,pop     ebp
0x8000365L,retn
0x8000368L,add     esp, 1Ch
0x800036bL,mov     eax, ebx
0x800036dL,pop     ebx
0x800036eL,pop     esi
0x800036fL,pop     edi
0x8000370L,pop     ebp
0x8000371L,retn
0x8000378L,mov     [esp+2Ch+var_1D], 0
0x800037dL,mov     [esp+2Ch+var_24], 0FFFFFFFFh
0x8000385L,xor     ebx, ebx
0x8000387L,mov     esi, [esp+2Ch+s]
0x800038bL,jmp     short loc_80003A1
0x8000390L,mov     [esp+2Ch+var_1D], 1
0x8000395L,inc     ebx
0x8000396L,mov     eax, [esp+2Ch+arg_8]
0x800039aL,mov     ebp, [eax+ebx*4]
0x800039dL,test    ebp, ebp
0x800039fL,jz      short loc_8000348
0x80003a1L,push    eax
0x80003a2L,push    edi             ; n
0x80003a3L,push    esi             ; s2
0x80003a4L,push    ebp             ; s1
0x80003a5L,call    strncmp
0x80003aaL,add     esp, 10h
0x80003adL,test    eax, eax
0x80003afL,jnz     short loc_8000395
0x80003b1L,sub     esp, 0Ch
0x80003b4L,push    ebp             ; s
0x80003b5L,call    strlen
0x80003baL,add     esp, 10h
0x80003bdL,cmp     edi, eax
0x80003bfL,jz      short loc_8000368
0x80003c1L,cmp     [esp+2Ch+var_24], 0FFFFFFFFh
0x80003c6L,jnz     short loc_8000390
0x80003c8L,mov     [esp+2Ch+var_24], ebx
0x80003ccL,jmp     short loc_8000395
0x80003ceL,mov     ebx, offset aInvalidArgumen; "invalid argument %s for %s"
0x80003d3L,push    eax
0x80003d4L,push    eax
0x80003d5L,mov     edx, [esp+34h+arg_0]
0x80003d9L,push    edx
0x80003daL,push    1
0x80003dcL,call    quote_n
0x80003e1L,add     esp, 0Ch
0x80003e4L,mov     ecx, [esp+30h+s]
0x80003e8L,mov     esi, eax
0x80003eaL,push    ecx
0x80003ebL,push    5
0x80003edL,push    0
0x80003efL,call    quotearg_n_style
0x80003f4L,mov     [esp+3Ch+var_3C], esi
0x80003f7L,push    eax
0x80003f8L,push    ebx             ; format
0x80003f9L,push    0               ; errnum
0x80003fbL,push    0               ; status
0x80003fdL,call    error
0x8000402L,add     esp, 1Ch
0x8000405L,mov     ebx, [esp+30h+n]
0x8000409L,push    ebx             ; int
0x800040aL,mov     esi, [esp+34h+s2]
0x800040eL,push    esi             ; s2
0x800040fL,mov     edi, [esp+38h+arg_8]
0x8000413L,push    edi             ; _IO_FILE *
0x8000414L,call    argmatch_valid
0x8000419L,call    [esp+3Ch+arg_14]
0x800041dL,add     esp, 10h
0x8000420L,or      eax, 0FFFFFFFFh
0x8000423L,jmp     loc_800035E
0x8000428L,mov     ebx, offset format; "ambiguous argument %s for %s"
0x800042dL,jmp     short loc_80003D3
0x8000430L,push    ebp
0x8000431L,push    edi
0x8000432L,push    esi
0x8000433L,push    ebx
0x8000434L,sub     esp, 0Ch
0x8000437L,mov     ebx, [esp+1Ch+arg_4]
0x800043bL,mov     edi, [esp+1Ch+n]
0x800043fL,mov     ebp, [ebx]
0x8000441L,test    ebp, ebp
0x8000443L,jz      short loc_800046F
0x8000445L,mov     esi, [esp+1Ch+s2]
0x8000449L,add     ebx, 4
0x800044cL,jmp     short loc_800045B
0x8000450L,mov     ebp, [ebx]
0x8000452L,add     esi, edi
0x8000454L,add     ebx, 4
0x8000457L,test    ebp, ebp
0x8000459L,jz      short loc_800046F
0x800045bL,push    eax
0x800045cL,push    edi             ; n
0x800045dL,push    esi             ; s2
0x800045eL,mov     edx, [esp+28h+s1]
0x8000462L,push    edx             ; s1
0x8000463L,call    memcmp
0x8000468L,add     esp, 10h
0x800046bL,test    eax, eax
0x800046dL,jnz     short loc_8000450
0x800046fL,add     esp, 0Ch
0x8000472L,mov     eax, ebp
0x8000474L,pop     ebx
0x8000475L,pop     esi
0x8000476L,pop     edi
0x8000477L,pop     ebp
0x8000478L,retn
0x8000000L,sub     esp, 0Ch
0x8000003L,lea     eax, [esp+0Ch+arg_C]
0x8000007L,push    eax
0x8000008L,mov     eax, [esp+10h+arg_8]
0x800000cL,push    eax
0x800000dL,mov     edx, [esp+14h+arg_4]
0x8000011L,push    edx
0x8000012L,mov     ecx, [esp+18h+arg_0]
0x8000016L,push    ecx
0x8000017L,call    vasnprintf
0x800001cL,add     esp, 1Ch
0x800001fL,retn
0x8000000L,push    ebp
0x8000001L,push    edi
0x8000002L,push    esi
0x8000003L,push    ebx
0x8000004L,sub     esp, 48h
0x8000007L,mov     ebx, [esp+58h+s]
0x800000bL,push    ebx             ; s
0x800000cL,call    strlen
0x8000011L,pop     ecx
0x8000012L,mov     esi, simple_backup_suffix
0x8000018L,mov     [esp+58h+var_48], eax
0x800001cL,push    esi             ; s
0x800001dL,call    strlen
0x8000022L,add     esp, 10h
0x8000025L,inc     eax
0x8000026L,mov     [esp+4Ch+var_30], eax
0x800002aL,cmp     eax, 8
0x800002dL,ja      short loc_8000034
0x800002fL,mov     eax, 9
0x8000034L,mov     edi, [esp+4Ch+var_48]
0x8000038L,sub     esp, 0Ch
0x800003bL,inc     edi
0x800003cL,add     eax, edi
0x800003eL,mov     [esp+58h+var_2C], eax
0x8000042L,push    eax             ; size_t
0x8000043L,call    xmalloc
0x8000048L,add     esp, 0Ch
0x800004bL,push    edi             ; n
0x800004cL,push    ebx             ; src
0x800004dL,push    eax             ; dest
0x800004eL,mov     esi, eax
0x8000050L,call    memcpy
0x8000055L,add     esp, 10h
0x8000058L,cmp     [esp+4Ch+arg_4], 1
0x800005dL,jz      loc_8000290
0x8000063L,sub     esp, 0Ch
0x8000066L,push    esi
0x8000067L,call    last_component
0x800006cL,mov     ebp, eax
0x800006eL,mov     [esp+5Ch+name], eax
0x8000071L,mov     [esp+5Ch+var_38], eax
0x8000075L,call    base_len
0x800007aL,mov     ebx, [ebp+0]
0x800007dL,mov     word ptr [ebp+0], 2Eh
0x8000083L,mov     [esp+5Ch+var_34], eax
0x8000087L,mov     [esp+5Ch+name], esi; name
0x800008aL,call    opendir
0x800008fL,mov     edx, [esp+5Ch+var_34]
0x8000093L,mov     ecx, ebp
0x8000095L,mov     edi, eax
0x8000097L,add     ecx, edx
0x8000099L,mov     [ebp+0], bx
0x800009dL,add     esp, 10h
0x80000a0L,test    edi, edi
0x80000a2L,mov     dword ptr [ecx], 7E317E2Eh
0x80000a8L,mov     byte ptr [ecx+4], 0
0x80000acL,jz      loc_8000288
0x80000b2L,mov     eax, edx
0x80000b4L,lea     ecx, [edx+4]
0x80000b7L,add     eax, 2
0x80000baL,mov     [esp+4Ch+path], esi
0x80000beL,mov     [esp+4Ch+var_24], 1
0x80000c6L,mov     [esp+4Ch+var_28], 2
0x80000ceL,mov     [esp+4Ch+var_44], ecx
0x80000d2L,mov     [esp+4Ch+n], eax
0x80000d6L,xchg    ax, ax
0x80000d8L,sub     esp, 0Ch
0x80000dbL,push    edi
0x80000dcL,call    readdir64
0x80000e1L,add     esp, 10h
0x80000e4L,mov     ebx, eax
0x80000e6L,test    eax, eax
0x80000e8L,jz      loc_8000240
0x80000eeL,mov     eax, [ebx+4]
0x80000f1L,or      eax, [ebx]
0x80000f3L,jz      short loc_80000D8
0x80000f5L,sub     esp, 0Ch
0x80000f8L,lea     ebp, [ebx+13h]
0x80000fbL,push    ebp             ; s
0x80000fcL,call    strlen
0x8000101L,add     esp, 10h
0x8000104L,cmp     eax, [esp+4Ch+var_44]
0x8000108L,jb      short loc_80000D8
0x800010aL,push    eax
0x800010bL,mov     eax, [esp+50h+n]
0x800010fL,push    eax             ; n
0x8000110L,push    ebp             ; s2
0x8000111L,mov     eax, [esp+58h+var_38]
0x8000115L,mov     edx, [esp+58h+path]
0x8000119L,sub     eax, esi
0x800011bL,add     eax, edx
0x800011dL,push    eax             ; s1
0x800011eL,call    memcmp
0x8000123L,add     esp, 10h
0x8000126L,test    eax, eax
0x8000128L,jnz     short loc_80000D8
0x800012aL,mov     eax, [esp+4Ch+n]
0x800012eL,mov     al, [ebx+eax+13h]
0x8000132L,lea     edx, [eax-31h]
0x8000135L,cmp     dl, 8
0x8000138L,ja      short loc_80000D8
0x800013aL,mov     ecx, [esp+4Ch+var_34]
0x800013eL,cmp     al, 39h
0x8000140L,lea     ebp, [ebx+ecx+15h]
0x8000144L,mov     ebx, 1
0x8000149L,setz    cl
0x800014cL,movsx   edx, byte ptr [ebp+1]
0x8000150L,mov     eax, edx
0x8000152L,sub     edx, 30h
0x8000155L,cmp     edx, 9
0x8000158L,ja      short loc_8000177
0x800015aL,lea     esi, [esi+0]
0x8000160L,cmp     al, 39h
0x8000162L,setz    al
0x8000165L,inc     ebx
0x8000166L,and     ecx, eax
0x8000168L,movsx   edx, byte ptr [ebp+ebx+0]
0x800016dL,mov     eax, edx
0x800016fL,sub     edx, 30h
0x8000172L,cmp     edx, 9
0x8000175L,jbe     short loc_8000160
0x8000177L,cmp     al, 7Eh
0x8000179L,jnz     loc_80000D8
0x800017fL,cmp     byte ptr [ebp+ebx+1], 0
0x8000184L,jnz     loc_80000D8
0x800018aL,cmp     ebx, [esp+4Ch+var_24]
0x800018eL,ja      short loc_80001BE
0x8000190L,jnz     loc_80000D8
0x8000196L,mov     byte ptr [esp+4Ch+var_20], cl
0x800019aL,push    eax
0x800019bL,push    ebx             ; n
0x800019cL,push    ebp             ; s2
0x800019dL,mov     ecx, [esp+58h+var_48]
0x80001a1L,mov     eax, [esp+58h+path]
0x80001a5L,lea     eax, [eax+ecx+2]
0x80001a9L,push    eax             ; s1
0x80001aaL,call    memcmp
0x80001afL,add     esp, 10h
0x80001b2L,test    eax, eax
0x80001b4L,mov     cl, byte ptr [esp+4Ch+var_20]
0x80001b8L,jg      loc_80000D8
0x80001beL,mov     al, cl
0x80001c0L,mov     ecx, [esp+4Ch+var_48]
0x80001c4L,and     eax, 0FFh
0x80001c9L,mov     [esp+4Ch+var_28], eax
0x80001cdL,add     eax, ebx
0x80001cfL,mov     [esp+4Ch+var_24], eax
0x80001d3L,lea     ecx, [eax+ecx+3]
0x80001d7L,cmp     ecx, [esp+4Ch+var_2C]
0x80001dbL,jnb     loc_8000315
0x80001e1L,mov     edx, [esp+4Ch+var_48]
0x80001e5L,mov     eax, [esp+4Ch+path]
0x80001e9L,mov     ecx, [esp+4Ch+var_28]
0x80001edL,add     eax, edx
0x80001efL,mov     byte ptr [eax], 2Eh
0x80001f2L,mov     byte ptr [eax+1], 7Eh
0x80001f6L,mov     byte ptr [eax+2], 30h
0x80001faL,lea     edx, [eax+ecx+2]
0x80001feL,lea     eax, [ebx+2]
0x8000201L,push    ecx
0x8000202L,push    eax             ; n
0x8000203L,push    ebp             ; src
0x8000204L,push    edx             ; dest
